taxon,clade,clade2,
Argentinosaurus_huinculensis,Sauropodomorpha,,
Argyrosaurus_superbus,Sauropodomorpha,,
Atlasaurus_imelakei,Sauropodomorpha,,
Austrosaurus_mckillopi,Sauropodomorpha,,
Barapasaurus_tagorei,Sauropodomorpha,,
Barosaurus_lentus,Sauropodomorpha,,
Bellusaurus_sui,Sauropodomorpha,,
Blikanasaurus_cromptoni,Sauropodomorpha,,
Brachiosaurus_altithorax,Sauropodomorpha,,
Brachytrachelopan_mesai,Sauropodomorpha,,
Camarasaurus_supremus,Sauropodomorpha,,
Camelotia_borealis,Sauropodomorpha,,
Cedarosaurus_weiskopfae,Sauropodomorpha,,
Cetiosaurus_oxoniensis,Sauropodomorpha,,
Coloradisaurus_brevis,Sauropodomorpha,,
Datousaurus_bashanensis,Sauropodomorpha,,
Dicraeosaurus_hansemanni,Sauropodomorpha,,
Dinheirosaurus_lourinhanensis,Sauropodomorpha,,
Diplodocus_longus,Sauropodomorpha,,
Efraasia_minor,Sauropodomorpha,,
Epachthosaurus_sciuttoi,Sauropodomorpha,,
Euhelopus_zdanskyi,Sauropodomorpha,,
Europasaurus_holgeri,Sauropodomorpha,,
Giraffatitan_brancai,Sauropodomorpha,,
Gondwanatitan_faustoi,Sauropodomorpha,,
Gongxianosaurus_shibeiensis,Sauropodomorpha,,
Gyposaurus_sinensis,Sauropodomorpha,,
Haplocanthosaurus_delfsi,Sauropodomorpha,,
Haplocanthosaurus_priscus,Sauropodomorpha,,
Isanosaurus_attavipachi,Sauropodomorpha,,
Isisaurus_colberti,Sauropodomorpha,,
Japalpur_titanosaur_indet.,Sauropodomorpha,,
Jingshanosaurus_xinwaensis,Sauropodomorpha,,
Jobaria_tiguidensis,Sauropodomorpha,,
Kotasaurus_yamanpalliensis,Sauropodomorpha,,
Lapparentosaurus_madagascariensis,Sauropodomorpha,,
Lessemsaurus_sauropoides,Sauropodomorpha,,
Limaysaurus_tessonei,Sauropodomorpha,,
Lirainosaurus_astibiae,Sauropodomorpha,,
Losillasaurus_giganteus,Sauropodomorpha,,
Lufengosaurus_huenei,Sauropodomorpha,,
Malagasy_Taxon_B,Sauropodomorpha,,
Malawisaurus_dixeyi,Sauropodomorpha,,
Mamenchisaurus_constructus,Sauropodomorpha,,
Massospondylus_carinatus,Sauropodomorpha,,
Melanorosaurus_readi,Sauropodomorpha,,
Mussaurus_patagonicus,Sauropodomorpha,,
Nemegtosaurus_mongoliensis,Sauropodomorpha,,
Nigersaurus_taqueti,Sauropodomorpha,,
Omeisaurus_junghsiensis,Sauropodomorpha,,
Omeisaurus_tianfuensis,Sauropodomorpha,,
Opisthocoelicaudia_skarzynskii,Sauropodomorpha,,
Pantydraco_caducus,Sauropodomorpha,,
Paralititan_stromeri,Sauropodomorpha,,
Patagosaurus_fariasi,Sauropodomorpha,,
Peiropolis_titanosaur,Sauropodomorpha,,
Pellegrinisaurus_powelli,Sauropodomorpha,,
Phuwiangosaurus_sirindhornae,Sauropodomorpha,,
Plateosauravus_cullingworthi,Sauropodomorpha,,
Plateosaurus_engelhardti,Sauropodomorpha,,
Plateosaurus_gracilis,Sauropodomorpha,,
Pleurocoelus_nanus,Sauropodomorpha,,
Quaesitosaurus_orientalis,Sauropodomorpha,,
Rapetosaurus_krausei,Sauropodomorpha,,
Rayososaurus_agrioensis,Sauropodomorpha,,
Rebbachisaurus_garasbae,Sauropodomorpha,,
Riojasaurus_incertus,Sauropodomorpha,,
Rocasaurus_muniozi,Sauropodomorpha,,
Saltasaurus_loricatus,Sauropodomorpha,,
Saturnalia_tupiniquim,Sauropodomorpha,,
Shunosaurus_lii,Sauropodomorpha,,
Suuwassea_emilieae,Sauropodomorpha,,
Tazoudasaurus_naimi,Sauropodomorpha,,
Tehuelchesaurus_benitezii,Sauropodomorpha,,
Thecodontosaurus_antiquus,Sauropodomorpha,,
Titanosaurus_indicus,Sauropodomorpha,,
Toba_titanosaur,Sauropodomorpha,,
Tornieria_africana,Sauropodomorpha,,
Unaysaurus_tolentinoi,Sauropodomorpha,,
Vulcanodon_karibaensis,Sauropodomorpha,,
Yunnanosaurus_huangi,Sauropodomorpha,,
Zapalasaurus_bonapartei,Sauropodomorpha,,
Abelisaurus_comahuensis,Theropoda,,
Achillobator_giganticus,Theropoda,,
Acrocanthosaurus_atokensis,Theropoda,,
Adasaurus_mongoliensis,Theropoda,,
Afrovenator_abakensis,Theropoda,,
Albertosaurus_sarcophagus,Theropoda,,
Alectrosaurus_olseni,Theropoda,,
Alioramus_remotus,Theropoda,,
Allosaurus_fragilis,Theropoda,,
Alvarezsaurus_calvoi,Theropoda,,
Anserimimus_planinychus,Theropoda,,
Appalachiosaurus_montgomeriensis,Theropoda,,
Archaeopteryx_lithographica,Theropoda,,
Archaeornithomimus_asiaticus,Theropoda,,
Aristosuchus_pusillus,Theropoda,,
Atrociraptor_marshalli,Theropoda,,
Aucasaurus_garridoi,Theropoda,,
Avimimus_portentosus,Theropoda,,
Bagaraatan_ostromi,Theropoda,,
Bajo_Barreal_abelisaur,Theropoda,,
Bambiraptor_feinbergorum,Theropoda,,
Baryonyx_walkeri,Theropoda,,
Beipiaosaurus_inexpectus,Theropoda,,
Buitreraptor_gonzalezorum,Theropoda,,
Byronosaurus_jaffei,Theropoda,,
Carcharodontosaurus_saharicus,Theropoda,,
Carnotaurus_sastrei,Theropoda,,
Caudipteryx_zoui,Theropoda,,
Ceratosaurus_nasicornis,Theropoda,,
Chilantaisaurus_tashuikouensis,Theropoda,,
Chindesaurus_bryansmalli,Theropoda,,
Chirostenotes_pergracilis,Theropoda,,
Citipati_osmolskae,Theropoda,,
Coelophysis_bauri,Theropoda,,
Coelophysis_rhodesiensis,Theropoda,,
Coelurus_fragilis,Theropoda,,
Compsognathus_longipes,Theropoda,,
Conchoraptor_gracilis,Theropoda,,
Cristatusaurus_lapparenti,Theropoda,,
Cryolophosaurus_ellioti,Theropoda,,
Daspletosaurus_torosus,Theropoda,,
Deinonychus_antirrhopus,Theropoda,,
Deltadromeus_agilis,Theropoda,,
Dilong_paradoxus,Theropoda,,
Dilophosaurus_wetherilli,Theropoda,,
