occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
276699,occ,,,26375,Antarctosaurus n. sp. septentrionalis,species,57452,recombined as,Jainosaurus septentrionalis,species,57452,Maastrichtian,,72.1,66,7271
280575,occ,23149,,26783,n. gen. Eucamerotus n. sp. foxi,species,54172,nomen dubium,Titanosauriformes,unranked clade,57468,Late Hauterivian,Early Aptian,136.4,122.46,17003
280576,occ,13339,,26784,Ischyrosaurus n. sp. manseli,species,67011,nomen dubium,Neosauropoda,unranked clade,57439,Early Tithonian,,150.8,145,14158
280927,occ,,,26795,Cetiosaurus n. sp. humerocristatus,species,67006,recombined as,Duriatitan humerocristatus,species,67006,Late Kimmeridgian,,155.7,150.8,7423
280983,occ,,,26796,Ornithopsis hulkei,species,54173,,Ornithopsis hulkei,species,54173,Late Hauterivian,Early Aptian,136.4,122.46,7425
283057,occ,13410,,26931,n. gen. Histriasaurus n. sp. boscarollii,species,68180,,Histriasaurus boscarollii,species,68180,Late Hauterivian,Early Barremian,136.4,125.45,14252
283734,occ,,,26931,Titanosauriformes indet.,unranked clade,57468,,Titanosauriformes,unranked clade,57468,Late Hauterivian,Early Barremian,136.4,125.45,7449
283735,occ,,,26931,Camarasauridae indet.,family,38696,,Camarasauridae,family,38696,Late Hauterivian,Early Barremian,136.4,125.45,7449
283742,occ,,,26920,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Late Hauterivian,Early Barremian,136.4,125.45,7456
284615,occ,33294,,27025,n. gen. Moabosaurus n. sp. utahensis,species,351931,,Moabosaurus utahensis,species,351931,Early Aptian,,125.45,122.46,62146
284616,occ,33295,,27025,Moabosaurus utahensis,species,351931,,Moabosaurus utahensis,species,351931,Early Aptian,,125.45,122.46,62146
284780,occ,34165,,27047,Titanosauriformes indet.,unranked clade,57468,,Titanosauriformes,unranked clade,57468,Early Aptian,Late Albian,125.45,99.6,2087
289604,occ,,,14408,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Aptian,,125,113,56060
289722,occ,,,14375,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Albian,,113,100.5,56060
289737,occ,13263,,14388,Astrodon sp.,genus,38674,nomen dubium,Macronaria,unranked clade,57438,Albian,,113,100.5,13937
292785,occ,,,27876,Cetiosaurus oxoniensis,species,66688,,Cetiosaurus oxoniensis,species,66688,Late Bajocian,,171.6,167.7,7643
292856,occ,,,27892,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Berriasian,Barremian,145,125,7649
292859,occ,31219,,27894,Nemegtosauridae indet.,family,56411,,Nemegtosauridae,family,56411,Late Maastrichtian,,70.6,66,55398
293748,occ,30822,,28002,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Late Cenomanian,,99.6,93.5,17866
295286,occ,20504,F,28230,Megaloolithus pseudomamillare,species,72342,subjective synonym of,Megaloolithus baghensis,species,81824,Late Paleocene,Early Eocene,58.7,48.6,26668
295292,occ,,,28231,Mamenchisaurus hochuanensis,species,56463,,Mamenchisaurus hochuanensis,species,56463,Oxfordian,,163.5,157.3,17258
295296,occ,,,28234,Shunosaurus lii,species,56457,,Shunosaurus lii,species,56457,Oxfordian,,163.5,157.3,7755
296444,occ,,,28360,n. gen. Dystrophaeus n. sp. viaemalae,species,52875,,Dystrophaeus viaemalae,species,52875,Late Oxfordian,,161.2,155.7,7793
296465,occ,,,28366,n. gen. Diplodocus n. sp. longus,species,52920,,Diplodocus longus,species,52920,Kimmeridgian,Tithonian,157.3,145,7803
297000,occ,,,28432,n. gen. Pleurocoelus n. sp. nanus,species,54169,nomen dubium,Sauropoda,unranked clade,38653,Early Aptian,,125.45,122.46,7834
297001,occ,,,28432,Pleurocoelus n. sp. altus,species,63758,nomen dubium,Sauropoda,unranked clade,38653,Early Aptian,,125.45,122.46,7834
297286,occ,23294,,28454,n. gen. Atsinganosaurus n. sp. velauciensis,species,169825,,Atsinganosaurus velauciensis,species,169825,Late Campanian,,83.5,70.6,33197
297556,occ,,,28534,Patagosaurus fariasi,species,66448,,Patagosaurus fariasi,species,66448,Callovian,,166.1,163.5,7879
297557,occ,,,28534,n. gen. Volkheimeria n. sp. chubutensis,species,66449,,Volkheimeria chubutensis,species,66449,Callovian,,166.1,163.5,7879
297562,occ,,,28536,n. gen. Patagosaurus n. sp. fariasi,species,66448,,Patagosaurus fariasi,species,66448,Callovian,,166.1,163.5,7879
298934,occ,21965,,28406,n. gen. Lirainosaurus n. sp. astibiae,species,65827,,Lirainosaurus astibiae,species,65827,Late Campanian,,83.5,70.6,9559
299147,occ,,,28778,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Middle Campanian,Late Campanian,83.5,70.6,7905
301099,occ,,,28994,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Middle Berriasian,,145,140.2,8336
303971,occ,,,31054,Cetiosaurus sp.,genus,38657,,Cetiosaurus,genus,38657,Early Bathonian,,167.7,164.7,27913
343510,occ,13489,,32319,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Bathonian,,168.3,166.1,14459
343721,occ,,,32323,Titanosauridae indet.,family,38680,,Titanosauridae,family,38680,Maastrichtian,,72.1,66,27965
343813,occ,,,32335,Titanosauridae indet.,family,38680,,Titanosauridae,family,38680,Late Campanian,Early Maastrichtian,83.5,66,8719
343918,occ,13829,,32346,Titanosauria indet.,unranked clade,55585,,Titanosauria,unranked clade,55585,Maastrichtian,,72.1,66,15056
343923,occ,,,32346,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Maastrichtian,,72.1,66,8728
343952,occ,,,32362,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Aptian,Albian,125,100.5,8730
343959,occ,23701,,32368,n. gen. Traukutitan n. sp. eocaudata,species,174550,,Traukutitan eocaudata,species,174550,Santonian,,86.3,83.6,34687
343961,occ,,,32370,Aeolosaurus sp.,genus,53964,,Aeolosaurus,genus,53964,Late Campanian,Early Maastrichtian,83.5,66,8736
343966,occ,28832,,32370,Titanosauria sp. 1 informal,species,55585,species not entered,Titanosauria,unranked clade,55585,Late Campanian,Early Maastrichtian,83.5,66,47469
363198,occ,18338,,34410,Titanosauridae indet.,family,38680,,Titanosauridae,family,38680,Senonian,,89.3,66,13838
367090,occ,10583,,34725,Titanosauria indet.,unranked clade,55585,,Titanosauria,unranked clade,55585,Maastrichtian,,72.1,66,9208
367430,occ,28810,,34727,Cetiosauridae ? indet.,family,38654,,Cetiosauridae,family,38654,Jurassic,Aptian,201.3,113,23520
367589,occ,17832,,34768,n. gen. Vulcanodon n. sp. karibaensis,species,54979,,Vulcanodon karibaensis,species,54979,Sinemurian,Pliensbachian,199.3,182.7,9275
370542,occ,,,27887,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Piripauan,Haumurian,85.8,66,9436
372542,occ,,,35268,n. gen. Barapasaurus n. sp. tagorei,species,55547,,Barapasaurus tagorei,species,55547,Sinemurian,Pliensbachian,199.3,182.7,9479
372644,occ,,,35273,n. gen. Austrosaurus n. sp. mckillopi,species,55571,,Austrosaurus mckillopi,species,55571,Late Albian,,105.3,99.6,9481
372795,occ,,,35282,Titanosauridae indet.,family,38680,,Titanosauridae,family,38680,Campanian,Maastrichtian,83.6,66,9498
372801,occ,,,35284,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Early Cretaceous,,145,100.5,9502
372803,occ,,,35285,n. gen. Mendozasaurus n. sp. neguyelap,species,55584,,Mendozasaurus neguyelap,species,55584,Middle Coniacian,Late Coniacian,89.3,85.8,9503
372881,occ,21983,,35293,n. gen. Cathetosaurus n. sp. lewisi,species,55640,recombined as,Camarasaurus lewisi,species,55640,Kimmeridgian,,157.3,152.1,9518
372889,occ,,,35293,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Kimmeridgian,,157.3,152.1,56001
378114,occ,,,35707,Titanosauridae indet.,family,38680,,Titanosauridae,family,38680,Late Campanian,,83.5,70.6,9627
379691,occ,26090,,35911,Camarasauridae indet.,family,38696,,Camarasauridae,family,38696,Early Tithonian,,150.8,145,38534
379924,occ,18470,IF,35931,Megaloolithus aureliensis,species,67203,,Megaloolithus aureliensis,species,67203,Early Maastrichtian,,70.6,66,14215
379958,occ,18132,IF,35933,Megaloolithus siruguei,species,67202,,Megaloolithus siruguei,species,67202,Late Maastrichtian,,70.6,66,17740
379965,occ,,,35966,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Campanian,,83.6,72.1,18021
380063,occ,10439,,35973,n. gen. Phuwiangosaurus n. sp. sirindhornae,species,56410,,Phuwiangosaurus sirindhornae,species,56410,Barremian,Aptian,129.4,113,9667
380065,occ,,,35974,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,9669
380625,occ,,,36074,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,31098
380637,occ,,,36077,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,9706
380646,occ,22367,,36080,Phuwiangosaurus sirindhornae,species,56410,,Phuwiangosaurus sirindhornae,species,56410,Barremian,Aptian,129.4,113,9665
380647,occ,22368,,36081,Phuwiangosaurus sirindhornae,species,56410,,Phuwiangosaurus sirindhornae,species,56410,Barremian,Aptian,129.4,113,9665
380649,occ,,,36082,Phuwiangosaurus sirindhornae,species,56410,,Phuwiangosaurus sirindhornae,species,56410,Barremian,Aptian,129.4,113,9665
380655,occ,,,36083,Phuwiangosaurus sirindhornae,species,56410,,Phuwiangosaurus sirindhornae,species,56410,Barremian,Aptian,129.4,113,9665
380658,occ,,,36084,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,31098
380882,occ,,,36144,Phuwiangosaurus sirindhornae,species,56410,,Phuwiangosaurus sirindhornae,species,56410,Barremian,Aptian,129.4,113,9696
380884,occ,,,36145,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,31098
380887,occ,,,36146,Phuwiangosaurus sirindhornae,species,56410,,Phuwiangosaurus sirindhornae,species,56410,Barremian,Aptian,129.4,113,9665
380889,occ,,,36147,Phuwiangosaurus sirindhornae,species,56410,,Phuwiangosaurus sirindhornae,species,56410,Barremian,Aptian,129.4,113,9665
380893,occ,,,36148,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,31098
380894,occ,22375,,36149,Phuwiangosaurus sirindhornae,species,56410,,Phuwiangosaurus sirindhornae,species,56410,Barremian,Aptian,129.4,113,9665
