occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
149987,occ,,,13284,n. gen. Goyocephale n. sp. lattimorei,species,52838,,Goyocephale lattimorei,species,52838,Santonian,Maastrichtian,86.3,66,4408
149989,occ,22651,,13286,n. gen. Tethyshadros n. sp. insularis,species,161198,,Tethyshadros insularis,species,161198,Late Campanian,Early Maastrichtian,83.5,66,31507
150241,occ,25326,,13334,Telmatosaurus transsylvanicus,species,68154,,Telmatosaurus transsylvanicus,species,68153,Maastrichtian,,72.1,66,37316
150242,occ,22872,,13335,Owenodon sp.,genus,163544,,Owenodon,genus,163544,Berriasian,,145,139.8,31500
150247,occ,,,13335,Ankylosauria indet.,unranked clade,38816,,Ankylosauria,unranked clade,38816,Berriasian,,145,139.8,4007
150248,occ,30609,,13335,Valdosaurus canaliculatus,species,52886,,Valdosaurus canaliculatus,species,52885,Berriasian,,145,139.8,50241
150249,occ,,,13335,n. gen. Bihariosaurus n. sp. bauxiticus,species,68174,nomen nudum,Iguanodontia,unranked clade,52805,Berriasian,,145,139.8,14865
150309,occ,,,13339,Monoclonius n. sp. nasicornus,species,56146,subjective synonym of,Styracosaurus albertensis,species,56144,Late Campanian,,83.5,70.6,5980
150310,occ,,,13340,Monoclonius n. sp. cutleri,species,56145,subjective synonym of,Centrosaurus apertus,species,63911,Campanian,,83.6,72.1,5980
150327,occ,18458,F,13350,Spheroolithus sp.,genus,67290,,Spheroolithus,genus,67290,Cenomanian,Turonian,100.5,89.8,14217
150352,occ,,,13352,Stegosaurus sp.,genus,38814,,Stegosaurus,genus,38814,Kimmeridgian,Tithonian,157.3,145,1808
150610,occ,17835,,13366,Ornithopoda indet.,unranked clade,38713,,Ornithopoda,unranked clade,38713,Maastrichtian,,72.1,66,17073
150851,occ,18326,,13411,n. gen. Graciliceratops n. sp. mongoliensis,species,67674,,Graciliceratops mongoliensis,species,67674,Cenomanian,Santonian,100.5,83.6,14425
150852,occ,,,13411,"""Syrmosaurus"" disparoserratus",species,67250,nomen dubium,Ankylosauria,unranked clade,38816,Cenomanian,Santonian,100.5,83.6,6048
150855,occ,,,13411,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Cenomanian,Santonian,100.5,83.6,6048
154974,occ,,,13776,Ankylosauridae indet.,family,38831,,Ankylosauridae,family,38831,Campanian,,83.6,72.1,9899
154975,occ,22652,,13777,n. gen. Bagaceratops n. sp. rozhdestvenskyi,species,52826,,Bagaceratops rozhdestvenskyi,species,52826,Middle Campanian,,83.5,70.6,6048
219925,occ,,,22638,Ceratopsidae indet.,family,38851,,Ceratopsidae,family,38851,Maastrichtian,,72.1,66,5739
219926,occ,,,22638,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Maastrichtian,,72.1,66,5739
219931,occ,,,22638,Pachycephalosauridae indet.,family,38783,,Pachycephalosauridae,family,38783,Maastrichtian,,72.1,66,5739
219935,occ,,,22640,Ceratopsidae indet.,family,38851,,Ceratopsidae,family,38851,Late Campanian,,83.5,70.6,5723
219965,occ,30389,,22645,Iguanodon n. sp. bernissartensis,species,58905,,Iguanodon bernissartensis,species,58905,Barremian,Early Aptian,129.4,122.46,19188
219973,occ,12664,,22648,Stegosaurus stenops,species,56491,,Stegosaurus stenops,species,56491,Kimmeridgian,Tithonian,157.3,145,58803
219990,occ,18103,,22652,Prosaurolophus blackfeetensis,species,57631,,Prosaurolophus blackfeetensis,species,57631,Campanian,,83.6,72.1,17718
219992,occ,,,22653,Maiasaura peeblesorum,species,55574,,Maiasaura peeblesorum,species,55574,Campanian,,83.6,72.1,5724
219993,occ,12168,,22653,Orodromeus makelai,species,64338,,Orodromeus makelai,species,64338,Campanian,,83.6,72.1,7404
219997,occ,,,22654,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Late Campanian,,83.5,70.6,5922
220000,occ,,,22654,Nodosaurus sp.,genus,38823,,Nodosaurus,genus,38823,Late Campanian,,83.5,70.6,5922
220001,occ,,,22654,Ornithischia indet.,unranked clade,38712,,Ornithischia,unranked clade,38712,Late Campanian,,83.5,70.6,5922
220003,occ,,,22656,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Late Campanian,,83.5,70.6,5923
220004,occ,,,22656,Chasmosaurus sp.,genus,38855,,Chasmosaurus,genus,38855,Late Campanian,,83.5,70.6,5923
220008,occ,,,22657,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Late Campanian,,83.5,70.6,5721
220010,occ,13659,,22657,Centrosaurus apertus,species,63911,,Centrosaurus apertus,species,63911,Late Campanian,,83.5,70.6,14847
220012,occ,,,22657,Nodosauridae indet.,family,38817,,Nodosauridae,family,38817,Late Campanian,,83.5,70.6,5721
220027,occ,23431,,22659,cf. Mojoceratops sp.,genus,170958,,Mojoceratops,genus,170958,Late Campanian,,83.5,70.6,33878
220057,occ,,,22678,Stegosaurus sp.,genus,38814,,Stegosaurus,genus,38814,Late Kimmeridgian,Tithonian,155.7,145,5760
220059,occ,,,22678,Camptosaurus sp.,genus,38748,,Camptosaurus,genus,38748,Late Kimmeridgian,Tithonian,155.7,145,5760
220091,occ,,,22685,Protoceratops andrewsi,species,52824,,Protoceratops andrewsi,species,52824,Late Campanian,,83.5,70.6,63431
220095,occ,,,22687,Hypsilophodon foxii,species,54190,,Hypsilophodon foxii,species,54190,Late Hauterivian,Early Aptian,136.4,122.46,5672
220096,occ,,,22689,Prosaurolophus blackfeetensis,species,57631,,Prosaurolophus blackfeetensis,species,57631,Late Santonian,Early Campanian,85.8,70.6,5724
220097,occ,18104,,22689,Hypacrosaurus cf. stebingeri,species,64339,,Hypacrosaurus stebingeri,species,64339,Late Santonian,Early Campanian,85.8,70.6,17718
220098,occ,,,22689,Gryposaurus sp.,genus,53014,,Gryposaurus,genus,53014,Late Santonian,Early Campanian,85.8,70.6,5724
220109,occ,,,22691,Maiasaura peeblesorum,species,55574,,Maiasaura peeblesorum,species,55574,Campanian,,83.6,72.1,5724
220113,occ,18106,,22692,Ankylosauridae indet.,family,38831,,Ankylosauridae,family,38831,Late Campanian,,83.5,70.6,17718
220116,occ,,,22695,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Late Campanian,,83.5,70.6,5929
220119,occ,,,22696,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Late Campanian,,83.5,70.6,5929
220124,occ,23117,,22699,Pachyrhinosaurus n. sp. lakustai,species,167138,,Pachyrhinosaurus lakustai,species,167138,Late Campanian,,83.5,70.6,32668
220125,occ,,,22700,Ornithischia indet.,unranked clade,38712,,Ornithischia,unranked clade,38712,Late Hauterivian,Early Aptian,136.4,122.46,5772
220149,occ,,,22709,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Late Campanian,,83.5,70.6,5684
220164,occ,,,22711,Stegosaurus sp.,genus,38814,,Stegosaurus,genus,38814,Kimmeridgian,Tithonian,157.3,145,15179
220165,occ,,,22711,Dryosaurus sp.,genus,38731,,Dryosaurus,genus,38731,Kimmeridgian,Tithonian,157.3,145,15179
220166,occ,,,22711,Camptosaurus sp.,genus,38748,,Camptosaurus,genus,38748,Kimmeridgian,Tithonian,157.3,145,15179
220190,occ,19089,,22713,Euornithopoda indet.,unranked clade,52801,,Euornithopoda,unranked clade,52801,Aptian,,125,113,18905
220226,occ,23105,,22727,Iguanodon bernissartensis,species,58905,,Iguanodon bernissartensis,species,58905,Aptian,,125,113,5691
220227,occ,30565,,22727,Iguanodon cf. atherfieldensis,species,64255,recombined as,Mantellisaurus atherfieldensis,species,64255,Aptian,,125,113,5691
220228,occ,18442,,22727,Iguanodon cf. bernissartensis,species,58905,,Iguanodon bernissartensis,species,58905,Aptian,,125,113,5691
221280,occ,18488,,22655,Styracosaurus albertensis,species,56144,,Styracosaurus albertensis,species,56144,Late Campanian,,83.5,70.6,18896
221281,occ,,,22659,Centrosaurus apertus,species,63911,,Centrosaurus apertus,species,63911,Late Campanian,,83.5,70.6,18556
225585,occ,,,21852,Stegosaurus sp.,genus,38814,,Stegosaurus,genus,38814,Early Tithonian,,150.8,145,4783
229313,occ,12169,,22690,Hypacrosaurus stebingeri,species,64339,,Hypacrosaurus stebingeri,species,64339,Campanian,,83.6,72.1,12559
229314,occ,,,22692,Prosaurolophus n. sp. blackfeetensis,species,57631,,Prosaurolophus blackfeetensis,species,57631,Late Campanian,,83.5,70.6,5697
229315,occ,10640,,22693,n. gen. Einiosaurus n. sp. procurvicornis,species,53954,,Einiosaurus procurvicornis,species,53954,Campanian,,83.6,72.1,14725
229316,occ,,,22694,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Campanian,,83.6,72.1,5697
229317,occ,10641,,22694,Einiosaurus procurvicornis,species,53954,,Einiosaurus procurvicornis,species,53954,Campanian,,83.6,72.1,8729
229342,occ,,,22709,Chasmosaurus mariscalensis,species,52772,recombined as,Agujaceratops mariscalensis,species,52772,Late Campanian,,83.5,70.6,5684
248075,occ,19747,,14437,n. gen. Avaceratops n. sp. lammersi,species,55539,,Avaceratops lammersi,species,55539,Middle Campanian,Late Campanian,83.5,70.6,25472
248589,occ,,,24257,Hadrosaurinae indet.,subfamily,53382,,Hadrosaurinae,subfamily,53382,Late Campanian,,83.5,70.6,694
248594,occ,31474,,24258,n. gen. Latirhinus n. sp. uitstlani,species,251612,,Latirhinus uitstlani,species,251612,Late Campanian,,83.5,70.6,43677
248601,occ,,,24259,Hadrosaurinae indet.,subfamily,53382,,Hadrosaurinae,subfamily,53382,Late Campanian,,83.5,70.6,694
248607,occ,,,24260,Hadrosaurinae indet.,subfamily,53382,,Hadrosaurinae,subfamily,53382,Late Campanian,,83.5,70.6,694
248615,occ,,,24261,Hadrosaurinae indet.,subfamily,53382,,Hadrosaurinae,subfamily,53382,Late Campanian,,83.5,70.6,694
248620,occ,,,14616,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Lancian,,70.6,66,1987
248621,occ,,,14616,Ceratopsidae indet.,family,38851,,Ceratopsidae,family,38851,Lancian,,70.6,66,1987
248622,occ,,,14616,Ankylosauridae indet.,family,38831,,Ankylosauridae,family,38831,Lancian,,70.6,66,1987
255091,occ,,F,24757,Ovaloolithus chinkangkouensis,species,68513,,Ovaloolithus chinkangkouensis,species,68512,Campanian,,83.6,72.1,24337
255376,occ,12320,,24790,Anatosaurus n. sp. copei,species,53383,recombined as,Anatotitan copei,species,53383,Maastrichtian,,72.1,66,12319
255468,occ,,,24804,Ornithopoda indet.,unranked clade,38713,,Ornithopoda,unranked clade,38713,Barremian,,129.4,125,6957
255471,occ,,,24806,Shiraminesauropus n. sp. hayashidaniensis,species,142960,nomen dubium,Ornithopoda,unranked clade,38713,Hauterivian,,132.9,129.4,36936
255623,occ,,,14455,Hadrosaurus sp.,genus,38762,,Hadrosaurus,genus,38762,Judithian,,83.5,70.6,1691
255624,occ,,,14455,Hypsibema crassicauda,species,64361,nomen dubium,Hadrosauridae,family,38755,Judithian,,83.5,70.6,1691
255625,occ,,,14455,Ornithopoda indet.,unranked clade,38713,,Ornithopoda,unranked clade,38713,Judithian,,83.5,70.6,1691
256036,occ,13663,,24845,Saurolophinae indet.,subfamily,53385,,Saurolophinae,subfamily,53385,Maastrichtian,,72.1,66,14863
256118,occ,,,24851,Triceratops prorsus,species,63770,,Triceratops prorsus,species,63770,Maastrichtian,,72.1,66,6967
256195,occ,,,24862,n. gen. Emausaurus n. sp. ernsti,species,64406,,Emausaurus ernsti,species,64406,Tenuicostatum,,183,182,6968
256525,occ,13614,,24888,n. gen. Protohadros n. sp. byrdi,species,64527,,Protohadros byrdi,species,64527,Middle Cenomanian,,99.6,93.5,6977
256534,occ,33693,,24891,Chasmosaurinae indet.,subfamily,52773,,Chasmosaurinae,subfamily,52773,Late Campanian,,83.5,70.6,52782
256539,occ,31786,,24893,Chasmosaurus irvinensis,species,64731,recombined as,Vagaceratops irvinensis,species,64731,Late Campanian,,83.5,70.6,6978
256575,occ,,,24897,Iguanodon mantelli,species,64506,,Iguanodon mantelli,species,64506,Late Barremian,Early Aptian,130,122.46,6980
256679,occ,12154,,24906,Iguanodon n. sp. atherfieldensis,species,64255,recombined as,Mantellisaurus atherfieldensis,species,64255,Late Hauterivian,Early Aptian,136.4,122.46,6982
256711,occ,,,24904,n. gen. Wannanosaurus n. sp. yansiensis,species,52840,,Wannanosaurus yansiensis,species,52840,Early Maastrichtian,,70.6,66,6987
256789,occ,27983,,24915,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Late Campanian,,83.5,70.6,37768
256790,occ,,,24915,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Late Campanian,,83.5,70.6,62803
256911,occ,,,24924,Centrosaurinae indet.,subfamily,53953,,Centrosaurinae,subfamily,53953,Early Campanian,,83.5,70.6,4308
259283,occ,,,25073,Chasmosaurus mariscalensis,species,52772,recombined as,Agujaceratops mariscalensis,species,52772,Late Campanian,,83.5,70.6,7029
259284,occ,,,25073,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Late Campanian,,83.5,70.6,7029
259321,occ,13275,,25076,Tenontosaurus tilletti,species,52887,,Tenontosaurus tilletti,species,52887,Albian,,113,100.5,13525
259322,occ,,,25077,Tenontosaurus tilletti,species,52887,,Tenontosaurus tilletti,species,52887,Albian,,113,100.5,13525
260839,occ,23241,,25221,Stegosauria ? indet.,unranked clade,147919,,Stegosauria,unranked clade,38798,Late Albian,Early Cenomanian,105.3,93.5,12528
262169,occ,,,25325,Ornithopoda indet.,unranked clade,38713,,Ornithopoda,unranked clade,38713,Early Cenomanian,,99.6,93.5,7098
262350,occ,23240,,25357,Stegosauria ? indet.,unranked clade,147919,,Stegosauria,unranked clade,38798,Early Barremian,Early Cenomanian,130,93.5,12528
262359,occ,33725,,25363,Iguanodontidae indet.,family,38744,,Iguanodontidae,family,38744,Albian,,113,100.5,61518
263353,occ,,,25428,Polacanthus foxii,species,52785,,Polacanthus foxii,species,52785,Late Barremian,Early Aptian,130,122.46,7123
263354,occ,,,25428,Ornithopoda indet.,unranked clade,38713,,Ornithopoda,unranked clade,38713,Late Barremian,Early Aptian,130,122.46,7123
266835,occ,18109,,25658,Orodromeus makelai,species,64338,,Orodromeus makelai,species,64338,Middle Campanian,,83.5,70.6,17718
266838,occ,,,25658,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Middle Campanian,,83.5,70.6,7156
269458,occ,,,25835,Psittacosaurus sp.,genus,38844,,Psittacosaurus,genus,38844,Late Barremian,Early Aptian,130,122.46,7186
269492,occ,,,25838,cf. Scelidosaurus sp.,genus,38801,,Scelidosaurus,genus,38801,Rhaetian,Sinemurian,208.5,190.8,14852
277109,occ,,,26452,n. gen. Pisanosaurus n. sp. mertii,species,64409,,Pisanosaurus mertii,species,64409,Carnian,,237,228,7278
280099,occ,,,26760,Edmontosaurus annectens,species,64305,,Edmontosaurus annectens,species,54239,Late Maastrichtian,,70.6,66,7389
280197,occ,,,26766,Hadrosaurus notabilis,species,95941,recombined as,Gryposaurus notabilis,species,63251,Late Campanian,,83.5,70.6,7398
280198,occ,28657,,26767,Gryposaurus sp.,genus,53014,,Gryposaurus,genus,53014,Late Campanian,,83.5,70.6,46756
280199,occ,19514,,26767,Lambeosaurinae indet.,subfamily,53394,,Lambeosaurinae,subfamily,53394,Late Campanian,,83.5,70.6,24881
280200,occ,13172,,26767,Panoplosaurus sp.,genus,38825,,Panoplosaurus,genus,38825,Late Campanian,,83.5,70.6,17480
280542,occ,,,26775,n. gen. Maiasaura n. sp. peeblesorum,species,55574,,Maiasaura peeblesorum,species,55574,Middle Campanian,Late Campanian,83.5,70.6,7402
280571,occ,,,26779,Brachylophosaurus n. sp. goodwini,species,64297,subjective synonym of,Brachylophosaurus canadensis,species,65213,Middle Campanian,,83.5,70.6,7405
280573,occ,34205,,26781,Hylaeosaurus sp.,genus,38822,,Hylaeosaurus,genus,38822,Late Hauterivian,Early Aptian,136.4,122.46,17480
280829,occ,19290,,26790,Iguanodon n. sp. prestwichii,species,64407,recombined as,Cumnoria prestwichii,species,64407,Late Kimmeridgian,,155.7,150.8,7419
280867,occ,13277,,26791,Hypsilophodon foxii,species,54190,,Hypsilophodon foxii,species,54190,Late Barremian,,130,125.45,12803
280868,occ,,,26793,Iguanodon sp.,genus,38749,,Iguanodon,genus,38749,Late Hauterivian,Early Aptian,136.4,122.46,29198
280989,occ,,,26797,n. gen. Vectisaurus n. sp. valdensis,species,53040,subjective synonym of,Mantellisaurus atherfieldensis,species,64255,Late Hauterivian,Early Barremian,136.4,125.45,7426
280990,occ,21389,,26799,n. gen. Polacanthus n. sp. foxii,species,52785,,Polacanthus foxii,species,52785,Late Barremian,Early Aptian,130,122.46,7427
281628,occ,,,26818,Edmontosaurus minor,species,85998,nomen dubium,Hadrosauridae,family,38755,Early Maastrichtian,,70.6,66,1580
281629,occ,30921,,26818,Lambeosaurinae indet.,subfamily,53394,,Lambeosaurinae,subfamily,53394,Early Maastrichtian,,70.6,66,7438
284033,occ,,,27010,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Santonian,,86.3,83.6,7468
284148,occ,12055,,27017,n. gen. Gastonia n. sp. burgei,species,63701,,Gastonia burgei,species,63701,Barremian,,129.4,125,7504
284149,occ,10067,,27017,Iguanodon ottingeri,species,64514,nomen dubium,Iguanodontia,unranked clade,52805,Barremian,,129.4,125,2087
284150,occ,,,27017,Hypsilophodontidae indet.,family,38734,,Hypsilophodontidae,family,38734,Barremian,,129.4,125,7471
284617,occ,21985,,27025,Iguanodon n. sp. ottingeri,species,64514,nomen dubium,Iguanodontia,unranked clade,52805,Early Aptian,,125.45,122.46,7478
284618,occ,12056,,27025,Gastonia burgei,species,63701,,Gastonia burgei,species,63701,Early Aptian,,125.45,122.46,7504
284657,occ,19970,,27031,Hypsilophodon n. sp. wielandi,species,64512,nomen dubium,Ornithopoda,unranked clade,38713,Aptian,,125,113,7478
284661,occ,,,27033,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Albian,,113,100.5,7478
284665,occ,12097,,27035,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Early Aptian,Late Albian,125.45,99.6,7478
284749,occ,,,27046,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Albian,,113,100.5,2087
284796,occ,33213,,27048,Ornithopoda indet.,unranked clade,38713,,Ornithopoda,unranked clade,38713,Albian,,113,100.5,2087
284797,occ,,,27048,Ankylosauria indet.,unranked clade,38816,,Ankylosauria,unranked clade,38816,Albian,,113,100.5,2087
285083,occ,13281,,27067,n. gen. Eolambia n. sp. caroljonesa,species,66500,,Eolambia caroljonesa,species,66500,Late Albian,,105.3,99.6,13823
285084,occ,12054,,27067,n. gen. Animantarx n. sp. ramaljonesi,species,63699,,Animantarx ramaljonesi,species,63699,Late Albian,,105.3,99.6,12199
287918,occ,,,14557,cf. Thescelosaurus sp.,genus,38742,,Thescelosaurus,genus,38742,Lancian,,70.6,66,774
287919,occ,,,14557,cf. Edmontosaurus sp.,genus,38761,,Edmontosaurus,genus,38761,Lancian,,70.6,66,774
287920,occ,,,14557,cf. Triceratops sp.,genus,38862,,Triceratops,genus,38862,Lancian,,70.6,66,774
288579,occ,18756,,14489,Ankylosauridae indet.,family,38831,,Ankylosauridae,family,38831,Judithian,,83.5,70.6,11752
288580,occ,,,14489,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Judithian,,83.5,70.6,2988
288581,occ,,,14489,Ceratopsidae indet.,family,38851,,Ceratopsidae,family,38851,Judithian,,83.5,70.6,2988
288583,occ,12535,,14489,Pachycephalosauridae indet.,family,38783,,Pachycephalosauridae,family,38783,Judithian,,83.5,70.6,11752
289108,occ,,,27562,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Maastrichtian,,72.1,66,61518
289723,occ,31619,,14375,Tenontosaurus ? sp.,genus,38741,,Tenontosaurus,genus,38741,Albian,,113,100.5,7600
289724,occ,,,14375,Hypsilophodontidae indet.,family,38734,,Hypsilophodontidae,family,38734,Albian,,113,100.5,56060
289738,occ,21975,,14388,Tenontosaurus ? sp.,genus,38741,,Tenontosaurus,genus,38741,Albian,,113,100.5,7600
291022,occ,,,14640,Thescelosaurus sp.,genus,38742,,Thescelosaurus,genus,38742,Lancian,,70.6,66,717
291023,occ,,,14640,Triceratops sp.,genus,38862,,Triceratops,genus,38862,Lancian,,70.6,66,717
292842,occ,,,27889,n. gen. Stegopelta n. sp. landerensis,species,63886,,Stegopelta landerensis,species,63886,Late Albian,Early Cenomanian,105.3,93.5,7645
292858,occ,23607,,27893,Ornithischia indet.,unranked clade,91973,,Ornithischia,unranked clade,38712,Berriasian,Barremian,145,125,16852
292863,occ,,,27894,Hadrosauroidea indet.,unranked clade,52811,,Hadrosauroidea,unranked clade,52811,Late Maastrichtian,,70.6,66,7650
292864,occ,,,27894,Nodosauridae indet.,family,38817,,Nodosauridae,family,38817,Late Maastrichtian,,70.6,66,7650
293744,occ,,,28001,Ornithopoda indet.,unranked clade,38713,,Ornithopoda,unranked clade,38713,Middle Coniacian,,89.3,85.8,7661
293758,occ,,,28003,Caririchnium n. sp. protohadrosaurichnos,species,68032,,Caririchnium protohadrosaurichnos,species,68032,Early Cenomanian,Middle Cenomanian,99.6,93.5,7663
294952,occ,,,28196,Hypsilophodontidae indet.,family,38734,,Hypsilophodontidae,family,38734,Late Barremian,Early Aptian,130,122.46,7706
294953,occ,22534,,28196,Iguanodontoidea indet.,superfamily,52810,,Iguanodontoidea,superfamily,52810,Late Barremian,Early Aptian,130,122.46,31341
296427,occ,,I,28334,Moyenisauropus sp.,genus,52872,subjective synonym of,Anomoepus,genus,67049,Late Hettangian,,201.3,196.5,7786
296471,occ,,,28369,Hadrosaurus n. sp. agilis,species,52921,recombined as,Claosaurus agilis,species,52921,Late Coniacian,Early Campanian,89.3,70.6,7805
296498,occ,,,28382,n. gen. Stegosaurus n. sp. armatus,species,52941,nomen dubium,Stegosaurus,genus,38814,Kimmeridgian,Tithonian,157.3,145,7808
297002,occ,,,28432,n. gen. Priconodon n. sp. crassus,species,54176,nomen dubium,Ankylosauria,unranked clade,38816,Early Aptian,,125.45,122.46,7834
297018,occ,,,28437,n. gen. Nodosaurus n. sp. textilis,species,52780,,Nodosaurus textilis,species,52780,Middle Cenomanian,,99.6,93.5,7835
297287,occ,21722,,28454,Rhabdodon sp.,genus,38753,,Rhabdodon,genus,38753,Late Campanian,,83.5,70.6,29887
297288,occ,23295,,28454,Nodosauridae indet.,family,38817,,Nodosauridae,family,38817,Late Campanian,,83.5,70.6,33197
297293,occ,,,28455,Hypsilophodontidae indet.,family,38734,,Hypsilophodontidae,family,38734,Late Campanian,Early Maastrichtian,83.5,66,7841
297295,occ,31622,,28457,Hadrosauroidea indet.,unranked clade,184951,,Hadrosauroidea,unranked clade,52811,Late Maastrichtian,,70.6,66,56054
297616,occ,,,28548,Anchiceratops n. sp. longirostris,species,63446,subjective synonym of,Anchiceratops ornatus,species,63447,Maastrichtian,,72.1,66,7884
297694,occ,10357,,28406,Rhabdodon sp.,genus,38753,,Rhabdodon,genus,38753,Late Campanian,,83.5,70.6,9512
297697,occ,17830,,28569,n. gen. Lurdusaurus n. sp. arenatus,species,64411,,Lurdusaurus arenatus,species,64411,Albian,,113,100.5,7886
297698,occ,13368,,28570,n. gen. Lesothosaurus n. sp. diagnosticus,species,57574,,Lesothosaurus diagnosticus,species,57574,Hettangian,Sinemurian,201.3,190.8,12660
297798,occ,18229,IF,28606,n. gen. Wintonopus n. sp. latomorum,species,81251,,Wintonopus latomorum,species,81251,Early Cenomanian,,99.6,93.5,61634
297799,occ,34022,,28606,Tyrannosauropus sp.,genus,141633,nomen dubium,Hadrosauridae,family,38755,Early Cenomanian,,99.6,93.5,63423
297836,occ,13367,,28613,Lesothosaurus diagnosticus,species,57574,,Lesothosaurus diagnosticus,species,57574,Hettangian,Sinemurian,201.3,190.8,12660
298935,occ,,,28406,Nodosauridae indet.,family,38817,,Nodosauridae,family,38817,Late Campanian,,83.5,70.6,7903
299144,occ,,,28778,Bactrosaurus sp.,genus,38770,,Bactrosaurus,genus,38770,Middle Campanian,Late Campanian,83.5,70.6,7905
300498,occ,34299,,28919,Psittacosaurus mongoliensis,species,52831,,Psittacosaurus mongoliensis,species,52831,Early Cretaceous,,145,100.5,64010
301092,occ,,,28401,Echinodon becklesii,species,58901,,Echinodon becklesii,species,58901,Middle Berriasian,,145,140.2,8338
301101,occ,22478,,28994,Iguanodontidae ? indet.,family,38744,,Iguanodontidae,family,38744,Middle Berriasian,,145,140.2,31269
303974,occ,,,31054,Stegosauria ? indet.,unranked clade,38798,,Stegosauria,unranked clade,38798,Early Bathonian,,167.7,164.7,27913
304134,occ,,,31079,Hadrosaurinae indet.,subfamily,53382,,Hadrosaurinae,subfamily,53382,Late Maastrichtian,,70.6,66,7281
342961,occ,21170,,32296,cf. Tenontosaurus sp.,genus,38741,,Tenontosaurus,genus,38741,Albian,,113,100.5,28721
342987,occ,21171,,32298,Tenontosaurus sp.,genus,38741,,Tenontosaurus,genus,38741,Albian,,113,100.5,28721
343502,occ,21444,,32313,Ankylosauria indet.,unranked clade,38816,,Ankylosauria,unranked clade,38816,Berriasian,Barremian,145,125,29301
