treeID,clade,rep,null_DIC,slow_DIC,asym_DIC,null_post_mean_intercept,null_post_mean,null_lower95_CI_intercept,null_upper95_CI_intercept,null_lower95_CI,null_upper95_CI,null_ess,null_pMCMC,slow_post_mean_intercept,slow_post_mean,slow_post_mean_2,slow_lower95_CI_intercept,slow_upper95_CI_intercept,slow_lower95_CI,slow_upper95_CI,slow_lower95_CI_2,slow_upper95_CI_2,slow_ess,slow_pMCMC,asym_post_mean_intercept,asym_post_mean,asym_post_mean_sqrt,asym_lower95_CI_intercept,asym_upper95_CI_intercept,asym_lower95_CI,asym_upper95_CI,asym_lower95_CI_sqrt,asym_upper95_CI_sqrt,asym_ess,asym_pMCMC
tree_4,all,27,919.5769033,916.4827807,913.3417466,1.985803301,0.005387698,1.794687155,2.176689414,0.003997306,0.006857775,450,0.002222222,1.726483324,0.01268731,-3.32E-05,1.465272714,2.03757554,0.007148391,0.019078748,-6.02E-05,-7.57E-06,450,0.002222222,1.031205668,-0.006044083,0.226858794,0.341484049,1.567981372,-0.012284738,0.002512039,0.107953377,0.386957638,450,0.004444444
tree_4,all,28,921.724714,915.2593957,910.7731306,2.055622094,0.004948308,1.865330532,2.25523977,0.003371263,0.006669414,450,0.002222222,1.704839261,0.014560019,-4.41E-05,1.344908346,2.003085411,0.008428862,0.021296974,-7.08E-05,-1.70E-05,450,0.002222222,0.847385607,-0.009919063,0.289747499,0.188854023,1.454941807,-0.017659618,-0.002524683,0.146121836,0.436255955,450,0.004444444
tree_4,all,29,937.0915933,931.7524494,926.6478349,2.065654814,0.004952759,1.875174047,2.287709219,0.003496272,0.006748646,450,0.002222222,1.72798251,0.01391165,-4.08E-05,1.402720291,2.002416537,0.007732828,0.019720996,-6.53E-05,-1.25E-05,450.9570975,0.002222222,0.852018933,-0.00961005,0.285281187,0.18549697,1.539574254,-0.017142102,-0.001268494,0.137045386,0.446348789,537.6716376,0.008888889
tree_4,all,30,915.8269483,910.86302,907.1852049,2.008066132,0.00516619,1.842791749,2.198536314,0.003617613,0.006605795,359.0595706,0.002222222,1.687691845,0.013600295,-3.88E-05,1.368705965,1.981715741,0.007853146,0.019017865,-6.39E-05,-1.42E-05,450,0.002222222,0.945047098,-0.007811431,0.250819501,0.272049989,1.583774775,-0.015360927,-9.17E-04,0.121852267,0.40499267,450,0.002222222
tree_4,all,31,929.9495087,919.7611961,914.4624004,2.121137008,0.005117276,1.935183731,2.316495857,0.003528679,0.006747348,450,0.002222222,1.726097062,0.015517541,-4.78E-05,1.3910763,2.01149036,0.009667925,0.021038578,-7.23E-05,-2.28E-05,450,0.002222222,0.788224862,-0.011046556,0.314137004,0.096041229,1.546780335,-0.02004754,-0.003631907,0.166358671,0.484935474,369.4718275,0.048888889
tree_4,all,32,921.5364784,914.2491369,910.2947581,2.051281799,0.005028252,1.835434461,2.255472235,0.003519184,0.006510436,450,0.002222222,1.713773296,0.01398188,-4.17E-05,1.424944937,2.043039959,0.008364646,0.019639518,-6.72E-05,-1.70E-05,450,0.002222222,0.884476964,-0.009323952,0.276720018,0.186753245,1.49774129,-0.01751128,-0.001644199,0.130232444,0.427808709,450,0.017777778
tree_4,all,33,919.007753,913.48173,908.7908176,2.028369389,0.004882704,1.821269166,2.231319059,0.003457454,0.00646594,269.7119647,0.002222222,1.699628302,0.013555607,-4.00E-05,1.385047825,2.006617567,0.007251168,0.0192906,-7.00E-05,-1.40E-05,450,0.002222222,0.922260797,-0.008728549,0.263685046,0.316498398,1.659997391,-0.016019888,-0.001489476,0.120906808,0.400757127,639.0839804,0.026666667
tree_4,all,34,924.6468606,915.8812884,911.1664739,2.085212376,0.005273484,1.897543467,2.273269755,0.003822279,0.006986428,450,0.002222222,1.70749229,0.01527995,-4.64E-05,1.39979662,1.973982422,0.008832527,0.020276698,-7.32E-05,-2.05E-05,679.9488021,0.002222222,0.83192573,-0.009888888,0.294453526,0.112773336,1.456806278,-0.016953218,-0.001895686,0.154914833,0.439851273,331.1843908,0.008888889
tree_4,all,35,911.5544592,905.9782956,901.904295,2.023262075,0.004982829,1.8485457,2.246062628,0.003362092,0.006284796,536.7200269,0.002222222,1.708008345,0.013460014,-3.89E-05,1.441247388,2.037847293,0.007610864,0.018881798,-6.49E-05,-1.61E-05,450,0.002222222,0.912148347,-0.008400992,0.260805543,0.183576261,1.598482436,-0.016508034,-2.61E-04,0.10159409,0.415143378,321.5951006,0.026666667
tree_4,all,36,928.3355464,917.9481955,913.526736,2.114291067,0.005189156,1.896917161,2.305746884,0.003740871,0.006779436,450,0.002222222,1.702425161,0.016106226,-5.03E-05,1.422513184,2.003774794,0.010307704,0.022267433,-7.46E-05,-2.04E-05,372.1483224,0.002222222,0.770700772,-0.010874408,0.31317027,0.152569458,1.41427018,-0.018590793,-0.002836662,0.157374609,0.451933446,450,0.031111111
