tree.ID,tree,null_DIC,slow_DIC,asym_DIC,null_post_mean,null_lower95_CI,null_upper95_CI,null_ess,null_pMCMC,slow_post_mean,slow_post_mean_2,slow_lower95_CI,slow_upper95_CI,slow_lower95_CI_2,slow_upper95_CI_2,slow_ess,slow_pMCMC,asym_post_mean_sqrt,asym_lower95_CI_sqrt,asym_upper95_CI_sqrt,asym_ess,asym_pMCMC
37,Arbour.phy.nex,305.8817967,288.4955851,289.8151892,0.012624574,0.006799861,0.018563574,450,0.002222222,0.045297313,-1.94E-04,0.038203189,0.0528354,-2.46E-04,-1.44E-04,204.0591576,0.002222222,0.243652832,0.202383134,0.281332214,450,0.002222222
38,Arbour.phy.nex,302.9477928,285.3778467,285.2294152,0.013813,0.00791233,0.020146788,450,0.002222222,0.042975804,-1.73E-04,0.035097832,0.051559243,-2.25E-04,-1.11E-04,450,0.002222222,0.242977544,0.20772513,0.273410246,450,0.002222222
39,Arbour.phy.nex,303.3969231,285.1286808,285.231058,0.014400123,0.008581402,0.019845172,450,0.002222222,0.043036608,-1.72E-04,0.035345628,0.050321528,-2.19E-04,-1.19E-04,546.5089683,0.002222222,0.246456051,0.211413275,0.275559926,579.6268788,0.002222222
40,Arbour.phy.nex,304.0816628,283.9595099,285.4028792,0.013270763,0.007790985,0.019079762,450,0.002222222,0.043075413,-1.73E-04,0.036290927,0.050293051,-2.25E-04,-1.30E-04,450,0.002222222,0.243263059,0.205990564,0.2725908,450,0.002222222
41,Arbour.phy.nex,304.5683687,286.1483142,287.5953811,0.012982294,0.007614946,0.018427105,331.3600373,0.002222222,0.044692713,-1.86E-04,0.037832129,0.052518779,-2.36E-04,-1.32E-04,579.4359966,0.002222222,0.24439217,0.207501704,0.276399914,450,0.002222222
42,Arbour.phy.nex,300.0461415,283.5157025,283.9742453,0.014010575,0.00858447,0.018827328,330.0407897,0.002222222,0.041684585,-1.60E-04,0.033779232,0.050457387,-2.16E-04,-1.05E-04,450,0.002222222,0.240856104,0.206292549,0.274229521,450,0.002222222
43,Arbour.phy.nex,303.7897227,284.7485975,285.966629,0.013647236,0.007742356,0.019385597,450,0.002222222,0.045028267,-1.90E-04,0.037972198,0.052219779,-2.37E-04,-1.37E-04,450,0.002222222,0.245656743,0.208377722,0.283001049,450,0.002222222
44,Arbour.phy.nex,302.4402529,284.0994169,283.7910538,0.014711596,0.009269733,0.019913474,450,0.002222222,0.041922043,-1.63E-04,0.033457924,0.048301281,-2.04E-04,-9.85E-05,450,0.002222222,0.244528775,0.213778013,0.273011862,450,0.002222222
45,Arbour.phy.nex,302.4369237,283.0581307,284.7351407,0.013537977,0.008585443,0.019238482,253.6237398,0.002222222,0.043209483,-1.73E-04,0.03597937,0.05140164,-2.29E-04,-1.26E-04,450,0.002222222,0.242449686,0.206344393,0.278859681,559.3572076,0.002222222
46,Arbour.phy.nex,305.3749472,286.6066907,286.9192239,0.01340981,0.007558361,0.019176503,455.9254706,0.002222222,0.04356168,-1.77E-04,0.036076674,0.051442669,-2.34E-04,-1.28E-04,365.8526949,0.002222222,0.243848976,0.210025008,0.275871548,450,0.002222222
47,Arbour.phy.nex,303.5089909,284.9419723,284.8890036,0.014002421,0.008458988,0.019594592,382.1625515,0.002222222,0.042226591,-1.67E-04,0.034969031,0.049833828,-2.13E-04,-1.12E-04,450,0.002222222,0.242508854,0.20582124,0.269625011,371.9469095,0.002222222
48,Arbour.phy.nex,302.0253996,284.0990707,284.0106184,0.014288774,0.008565339,0.019574543,450,0.002222222,0.042005985,-1.65E-04,0.033684594,0.048466715,-2.14E-04,-1.13E-04,450,0.002222222,0.242929616,0.20835018,0.271113257,450,0.002222222
49,Arbour.phy.nex,303.5333131,285.0587326,285.8902741,0.013527837,0.008652176,0.019872767,450,0.002222222,0.042871482,-1.71E-04,0.036398772,0.050265937,-2.20E-04,-1.21E-04,450,0.002222222,0.243097471,0.209363622,0.275427604,450,0.002222222
50,Arbour.phy.nex,304.3203531,285.6223708,285.4839702,0.01415572,0.008656145,0.019539632,450,0.002222222,0.042603818,-1.69E-04,0.035236138,0.049430203,-2.18E-04,-1.23E-04,450,0.002222222,0.244549219,0.214335664,0.27409059,450,0.002222222
51,Arbour.phy.nex,304.2960467,283.9208815,284.9161509,0.013972257,0.008826629,0.020768003,351.2546499,0.004444444,0.044990843,-1.88E-04,0.037827216,0.051954015,-2.43E-04,-1.39E-04,450,0.002222222,0.249438536,0.215730019,0.281396818,637.113238,0.002222222
52,Arbour.phy.nex,304.582248,285.9689301,287.5503943,0.012866436,0.006863592,0.017445182,307.8257815,0.002222222,0.044426941,-1.85E-04,0.037044485,0.052254596,-2.48E-04,-1.37E-04,450,0.002222222,0.243647666,0.207528101,0.275391017,450,0.002222222
53,Arbour.phy.nex,304.4298106,285.6156515,287.2540859,0.013123379,0.006717053,0.018280422,450,0.002222222,0.043660348,-1.77E-04,0.037003754,0.0504952,-2.21E-04,-1.27E-04,524.149959,0.002222222,0.243164131,0.204775679,0.275066485,450,0.002222222
54,Arbour.phy.nex,303.3925625,285.7877577,286.6883348,0.012679628,0.00635419,0.017664903,450,0.002222222,0.04239969,-1.69E-04,0.03456578,0.049301598,-2.22E-04,-1.24E-04,450,0.002222222,0.239499121,0.199030517,0.266474837,530.0085768,0.002222222
55,Arbour.phy.nex,304.1422934,285.4795766,285.9906621,0.01358554,0.007349131,0.018709822,523.9197295,0.002222222,0.043177902,-1.75E-04,0.035036241,0.050064404,-2.22E-04,-1.24E-04,573.961183,0.002222222,0.241568676,0.20404899,0.27624379,450,0.002222222
56,Arbour.phy.nex,303.3183408,283.9425933,285.1430704,0.012798989,0.00743457,0.018666256,286.8540594,0.002222222,0.043127287,-1.73E-04,0.035779287,0.049693265,-2.19E-04,-1.22E-04,450,0.002222222,0.242238116,0.207908563,0.270979521,450,0.002222222
57,Arbour.phy.nex,302.969997,286.0676085,287.6070752,0.012418458,0.006576831,0.018078706,450,0.002222222,0.04283268,-1.74E-04,0.035273421,0.04942773,-2.19E-04,-1.23E-04,450,0.002222222,0.236369612,0.202019491,0.268481543,543.2853757,0.002222222
58,Arbour.phy.nex,308.4650213,289.8458882,290.7846182,0.012949841,0.006740914,0.019324543,450,0.002222222,0.046282722,-2.01E-04,0.039366496,0.053368137,-2.55E-04,-1.51E-04,450,0.002222222,0.249517032,0.215996968,0.279420403,450,0.002222222
59,Arbour.phy.nex,305.0174762,286.7965737,287.7553717,0.013455063,0.007746234,0.018683491,450,0.002222222,0.042859844,-1.72E-04,0.034935913,0.050043236,-2.28E-04,-1.27E-04,450,0.002222222,0.241627031,0.203950526,0.271399012,450,0.002222222
60,Arbour.phy.nex,303.2794951,284.3633709,284.6807251,0.014070335,0.008145926,0.019181748,450,0.002222222,0.044465779,-1.84E-04,0.036868062,0.052291886,-2.32E-04,-1.29E-04,450,0.002222222,0.249568431,0.216134973,0.27937748,530.2138214,0.002222222
61,Arbour.phy.nex,305.0786638,286.0721465,288.157268,0.012554101,0.007205794,0.018031678,392.0612942,0.002222222,0.044474923,-1.86E-04,0.037146021,0.053342034,-2.39E-04,-1.31E-04,450,0.002222222,0.243114422,0.213372844,0.274158371,544.9989715,0.002222222
62,Arbour.phy.nex,301.0318795,283.320288,283.4571196,0.013920751,0.007932407,0.019747616,564.7359082,0.002222222,0.041711687,-1.60E-04,0.034115236,0.04908788,-2.13E-04,-1.14E-04,450,0.002222222,0.242117119,0.202760288,0.270776654,450,0.002222222
63,Arbour.phy.nex,306.4818668,286.2567464,287.6533521,0.013943923,0.008600919,0.020015592,322.8526887,0.002222222,0.046042083,-1.97E-04,0.038666038,0.053185655,-2.47E-04,-1.34E-04,371.3270173,0.002222222,0.249676012,0.209323785,0.274217659,450,0.002222222
64,Arbour.phy.nex,306.0483702,287.6113781,289.2673562,0.012857336,0.007229158,0.018602797,450,0.002222222,0.043275713,-1.76E-04,0.035334932,0.049761579,-2.19E-04,-1.16E-04,450,0.002222222,0.239892401,0.200097637,0.271024617,450,0.002222222
65,Arbour.phy.nex,302.1405794,283.474388,283.5502128,0.014485087,0.009505924,0.020186835,450,0.002222222,0.04196384,-1.62E-04,0.034780895,0.048751606,-2.09E-04,-1.11E-04,450,0.002222222,0.24483122,0.211702815,0.273753978,450,0.002222222
66,Arbour.phy.nex,306.8906466,287.3838391,288.0697867,0.013574103,0.007059671,0.018185336,335.2034771,0.002222222,0.044330824,-1.82E-04,0.03839973,0.051768222,-2.32E-04,-1.33E-04,450,0.002222222,0.246412306,0.209981849,0.27526766,450,0.002222222
67,Arbour.phy.nex,301.1157827,283.8173458,283.1657527,0.014459687,0.009187498,0.019681921,532.7863408,0.002222222,0.042959054,-1.72E-04,0.03525584,0.050178337,-2.22E-04,-1.23E-04,520.4864482,0.002222222,0.246149763,0.208695822,0.277281772,527.5737065,0.002222222
68,Arbour.phy.nex,302.8330337,284.8271281,285.5887912,0.013713884,0.007160521,0.018567266,450,0.002222222,0.043843767,-1.80E-04,0.03630452,0.051413093,-2.28E-04,-1.22E-04,550.970092,0.002222222,0.243276993,0.205075831,0.269349275,371.1011376,0.002222222
69,Arbour.phy.nex,303.9814921,285.0769425,286.8015645,0.013105862,0.007094807,0.018183428,450,0.002222222,0.042584657,-1.68E-04,0.033940618,0.048659593,-2.18E-04,-1.23E-04,450,0.002222222,0.241217273,0.20867069,0.272451636,450,0.002222222
70,Arbour.phy.nex,306.0678806,287.7377611,288.4071272,0.013388864,0.006437444,0.018749272,395.3947019,0.002222222,0.044690789,-1.88E-04,0.036579158,0.051244175,-2.38E-04,-1.28E-04,450,0.002222222,0.245627371,0.214199324,0.282089338,338.6321727,0.002222222
71,Arbour.phy.nex,301.2174437,283.9548862,282.809566,0.014840539,0.008835423,0.020326445,450,0.002222222,0.04057367,-1.53E-04,0.031385745,0.047214445,-2.05E-04,-1.05E-04,450,0.002222222,0.242233442,0.210335852,0.266621503,450,0.002222222
72,Arbour.phy.nex,299.8779951,283.0870572,282.2053704,0.014298206,0.008486584,0.020338357,450,0.002222222,0.041460027,-1.59E-04,0.034582839,0.048232463,-2.05E-04,-1.13E-04,450,0.002222222,0.242619606,0.209564812,0.273273125,450,0.002222222
73,Arbour.phy.nex,301.4605594,283.3721147,283.804974,0.014053706,0.007652763,0.019457282,342.7075274,0.002222222,0.042149299,-1.66E-04,0.035016368,0.049752942,-2.14E-04,-1.17E-04,389.2926429,0.002222222,0.243672864,0.207269369,0.274633777,450,0.002222222
74,Arbour.phy.nex,305.268673,286.8897468,286.8336541,0.014031733,0.007531014,0.020158439,420.5483439,0.002222222,0.045923731,-1.96E-04,0.038355472,0.053735461,-2.58E-04,-1.46E-04,585.8003959,0.002222222,0.252081697,0.219798569,0.274668446,450,0.002222222
75,Arbour.phy.nex,305.5503859,287.1902149,287.1725585,0.013171743,0.007594074,0.018346159,450,0.002222222,0.042161715,-1.66E-04,0.034793548,0.049049499,-2.17E-04,-1.19E-04,502.1685333,0.002222222,0.241802857,0.211512256,0.270759575,450,0.002222222
76,Arbour.phy.nex,305.8314241,286.1362395,287.7882272,0.013445781,0.006172203,0.018982129,450,0.002222222,0.045671821,-1.95E-04,0.038759272,0.054304827,-2.53E-04,-1.39E-04,450,0.002222222,0.247846179,0.209710903,0.279264676,450,0.002222222
77,Arbour.phy.nex,303.441454,284.8403928,284.4255681,0.014195888,0.008002344,0.019789505,450,0.002222222,0.042235305,-1.66E-04,0.03470739,0.049719719,-2.15E-04,-1.13E-04,450,0.002222222,0.244919169,0.214518736,0.27198576,450,0.002222222
78,Arbour.phy.nex,302.8490408,284.8261779,283.9849917,0.014290665,0.008720073,0.019486235,450,0.002222222,0.041257926,-1.59E-04,0.033875393,0.048539325,-2.10E-04,-1.08E-04,331.8133301,0.002222222,0.24213958,0.2111312,0.27375156,450,0.002222222
79,Arbour.phy.nex,303.5410772,284.8383905,285.4708998,0.013520544,0.007404081,0.019192615,450,0.002222222,0.044177682,-1.84E-04,0.036533664,0.050864807,-2.34E-04,-1.37E-04,450,0.002222222,0.245855827,0.212106092,0.276815169,450,0.002222222
80,Arbour.phy.nex,303.4981251,285.4682287,286.4490921,0.013078234,0.006364775,0.018460996,368.5095216,0.002222222,0.042511391,-1.70E-04,0.033716227,0.049673965,-2.25E-04,-1.19E-04,450,0.002222222,0.239499993,0.204470895,0.27137263,342.2974187,0.002222222
81,Arbour.phy.nex,304.9514998,286.88623,288.2360136,0.012314174,0.006051352,0.01812102,450,0.002222222,0.04318345,-1.75E-04,0.036605769,0.05123216,-2.26E-04,-1.28E-04,450,0.002222222,0.23879056,0.198723935,0.269447211,532.5608726,0.002222222
82,Arbour.phy.nex,301.8527593,283.6511097,282.5860854,0.015337013,0.009920128,0.020933715,230.6391259,0.002222222,0.041541879,-1.59E-04,0.033698668,0.04762605,-2.03E-04,-1.08E-04,450,0.002222222,0.244199793,0.209940186,0.272580766,450,0.002222222
83,Arbour.phy.nex,303.5028124,285.4287745,286.1027685,0.014068478,0.008472163,0.01977098,450,0.002222222,0.043462718,-1.75E-04,0.035853988,0.050106552,-2.19E-04,-1.24E-04,450,0.002222222,0.247080724,0.207399691,0.28226277,450,0.002222222
84,Arbour.phy.nex,304.5498454,284.9207729,286.3889578,0.012954678,0.007230654,0.017921477,450,0.002222222,0.043573676,-1.79E-04,0.036196411,0.050946738,-2.29E-04,-1.29E-04,372.4265734,0.002222222,0.243118782,0.205904037,0.275059234,450,0.002222222
85,Arbour.phy.nex,307.4019481,288.5392644,290.2300031,0.012640821,0.005988523,0.017798534,450,0.002222222,0.046388035,-2.03E-04,0.038865653,0.054069061,-2.56E-04,-1.46E-04,205.6881435,0.002222222,0.24931577,0.218608688,0.280635415,365.6380257,0.002222222
86,Arbour.phy.nex,302.8962334,285.1797819,285.7255905,0.013581249,0.007954837,0.018700733,518.4955536,0.002222222,0.043075904,-1.73E-04,0.035212389,0.050887598,-2.24E-04,-1.18E-04,862.3087859,0.002222222,0.242580861,0.206522682,0.269622644,450,0.002222222
87,Arbour.phy.nex,303.723112,285.4386643,285.5633485,0.013891435,0.007938106,0.019169407,450,0.002222222,0.041598132,-1.60E-04,0.035115981,0.049574657,-2.12E-04,-1.15E-04,410.9393455,0.002222222,0.242267534,0.201478363,0.269595822,450,0.002222222
88,Arbour.phy.nex,303.5823821,285.1627691,285.3643767,0.013535548,0.007935044,0.019034295,450,0.002222222,0.043071937,-1.72E-04,0.03625854,0.05206714,-2.28E-04,-1.17E-04,450,0.002222222,0.242635468,0.207478906,0.273302932,454.2961304,0.002222222
89,Arbour.phy.nex,305.492027,285.0112274,286.4108628,0.01310265,0.007303634,0.018718442,276.6869307,0.002222222,0.043433309,-1.76E-04,0.036771898,0.049900098,-2.28E-04,-1.29E-04,450,0.002222222,0.243349022,0.210333716,0.278616228,450,0.002222222
90,Arbour.phy.nex,305.0672162,285.6189509,286.5000715,0.013168307,0.007131545,0.01891684,450,0.002222222,0.046304276,-2.00E-04,0.03915148,0.054016477,-2.53E-04,-1.49E-04,386.3670475,0.002222222,0.248778901,0.215184588,0.279803192,450,0.002222222
91,Arbour.phy.nex,307.3139971,288.611763,289.2911443,0.013058649,0.006786713,0.018313999,450,0.002222222,0.04450343,-1.88E-04,0.037405763,0.053251564,-2.48E-04,-1.39E-04,450,0.002222222,0.245092714,0.20736718,0.271836174,615.7285882,0.002222222
92,Arbour.phy.nex,303.2116832,284.9579809,286.0243509,0.013084467,0.007507585,0.01974711,450,0.002222222,0.043620506,-1.78E-04,0.036432001,0.05200812,-2.31E-04,-1.23E-04,430.0075197,0.002222222,0.244559036,0.213459333,0.27705734,424.3351781,0.002222222
93,Arbour.phy.nex,300.9297243,283.2051015,282.5870766,0.014339473,0.00776752,0.019414372,540.9798446,0.002222222,0.041477551,-1.59E-04,0.033979736,0.050004877,-2.13E-04,-1.11E-04,450,0.002222222,0.243098598,0.205390662,0.279352572,450,0.002222222
94,Arbour.phy.nex,302.4645861,283.6616658,284.5134258,0.013736871,0.008854949,0.019306041,360.1871811,0.002222222,0.042680612,-1.71E-04,0.034087194,0.049179527,-2.18E-04,-1.18E-04,450,0.002222222,0.241075144,0.207615534,0.273053914,378.0508302,0.002222222
95,Arbour.phy.nex,303.8004116,285.9158121,286.2408887,0.013775555,0.006644546,0.018703505,450,0.002222222,0.043845574,-1.80E-04,0.035954817,0.051859196,-2.36E-04,-1.29E-04,450,0.002222222,0.24568262,0.209976544,0.279667668,903.4176997,0.002222222
96,Arbour.phy.nex,302.9325996,285.5409799,285.3113718,0.01384038,0.008526793,0.018500803,450,0.002222222,0.042292616,-1.68E-04,0.035489027,0.051775446,-2.22E-04,-1.18E-04,450,0.002222222,0.241212887,0.204129348,0.271223921,450,0.002222222
97,Arbour.phy.nex,302.8647581,284.1444846,283.7926338,0.014957721,0.008694151,0.02062454,450,0.002222222,0.044172903,-1.80E-04,0.036123032,0.050714697,-2.27E-04,-1.28E-04,355.9938782,0.002222222,0.248459925,0.216390247,0.279162752,450,0.002222222
98,Arbour.phy.nex,301.6769177,282.8290984,283.2443693,0.014213687,0.007489846,0.019494463,450,0.002222222,0.042211445,-1.65E-04,0.035076984,0.050336703,-2.21E-04,-1.22E-04,450,0.002222222,0.245525367,0.217478692,0.278256398,450,0.002222222
99,Arbour.phy.nex,303.4994231,286.2794748,285.7861501,0.014111545,0.008687975,0.019759166,450,0.002222222,0.043927321,-1.82E-04,0.035151833,0.051151267,-2.36E-04,-1.26E-04,450,0.002222222,0.246828422,0.208502979,0.275301645,450,0.002222222
