treeID,clade,rep,null_DIC,slow_DIC,asym_DIC,null_post_mean,null_lower95_CI,null_upper95_CI,null_ess,null_pMCMC,slow_post_mean,slow_post_mean_2,slow_lower95_CI,slow_upper95_CI,slow_lower95_CI_2,slow_upper95_CI_2,slow_ess,slow_pMCMC,asym_post_mean,asym_post_mean_sqrt,asym_lower95_CI,asym_upper95_CI,asym_lower95_CI_sqrt,asym_upper95_CI_sqrt,asym_ess,asym_pMCMC
tree_4,all,28,992.3733733,986.6258167,914.1299102,0.007021829,0.004275011,0.009684358,450,0.002222222,0.039648137,-1.48E-04,0.033565012,0.044010423,-1.69E-04,-1.20E-04,450,0.002222222,-0.018542383,0.464640691,-0.021944032,-0.014874275,0.419026501,0.510213555,267.741988,0.002222222
tree_4,all,29,995.9476395,1003.035148,930.9061901,0.00661605,0.003617845,0.009110609,450,0.002222222,0.038825402,-1.45E-04,0.0333774,0.044883782,-1.70E-04,-1.20E-04,450,0.002222222,-0.018487536,0.464257907,-0.021886973,-0.015250286,0.421425236,0.506393155,450,0.002222222
tree_4,all,30,993.38763,984.9401985,911.6346874,0.007687206,0.004853752,0.010256597,483.7878283,0.002222222,0.03903948,-1.45E-04,0.034523248,0.043715063,-1.66E-04,-1.22E-04,450,0.002222222,-0.017471159,0.447083976,-0.020542732,-0.014156416,0.409356259,0.491774717,450,0.002222222
tree_4,all,31,1000.721418,997.2908161,917.1168708,0.007627248,0.004784248,0.010537219,450,0.002222222,0.042054931,-1.58E-04,0.037589484,0.046749416,-1.82E-04,-1.37E-04,450,0.002222222,-0.01913118,0.479094643,-0.022515699,-0.015821187,0.433057391,0.520553651,450,0.002222222
tree_4,all,32,995.6266073,988.1328569,914.2260118,0.008272112,0.005692693,0.010955914,369.0649613,0.002222222,0.039831265,-1.49E-04,0.035123208,0.044205292,-1.72E-04,-1.28E-04,450,0.002222222,-0.018343946,0.459689193,-0.021532531,-0.014843069,0.417064471,0.502972687,450,0.002222222
tree_4,all,33,990.2603062,983.5922015,913.1919565,0.007277777,0.004508714,0.009698095,450,0.002222222,0.03850409,-1.44E-04,0.032927099,0.043276074,-1.67E-04,-1.20E-04,517.2345414,0.002222222,-0.018265871,0.458052058,-0.02173239,-0.014978405,0.414821008,0.505597876,450,0.002222222
tree_4,all,34,998.5663736,993.1736914,914.4223709,0.00799232,0.005443705,0.011091513,450,0.002222222,0.041482291,-1.54E-04,0.036806973,0.046062478,-1.78E-04,-1.32E-04,450,0.002222222,-0.018368744,0.467275738,-0.021977784,-0.01488947,0.424559139,0.513117372,529.5777549,0.002222222
tree_4,all,35,990.0146511,982.136839,906.3339602,0.007047581,0.004610025,0.009796952,509.1849146,0.002222222,0.039193234,-1.46E-04,0.033824227,0.043901967,-1.68E-04,-1.22E-04,473.7370454,0.002222222,-0.017698358,0.449757239,-0.020711961,-0.014660123,0.410044527,0.495010261,550.6107066,0.002222222
tree_4,all,36,1001.058834,994.3524225,916.3283984,0.008076619,0.005428561,0.011231825,539.7420657,0.002222222,0.042104727,-1.57E-04,0.037393688,0.046675419,-1.78E-04,-1.34E-04,457.258285,0.002222222,-0.019003363,0.477673299,-0.02255053,-0.015862668,0.436680715,0.526738558,636.1043649,0.002222222
tree_4,all,37,994.5955396,995.0521617,919.1561434,0.00715051,0.004354896,0.009844774,338.6629829,0.002222222,0.040288419,-1.50E-04,0.035417961,0.045229689,-1.70E-04,-1.28E-04,387.1100823,0.002222222,-0.01852254,0.46741108,-0.021836821,-0.014771036,0.421682557,0.515498979,450,0.002222222
tree_4,all,38,990.7557964,991.6398094,914.8768963,0.00681659,0.004066037,0.009447026,450,0.002222222,0.040035727,-1.50E-04,0.035057525,0.045622509,-1.72E-04,-1.23E-04,450,0.002222222,-0.018751588,0.469258325,-0.022114843,-0.015462672,0.425245702,0.514520113,450,0.002222222
tree_4,all,39,990.8956253,987.806117,910.8791643,0.006854028,0.004218536,0.009705716,450,0.002222222,0.039740105,-1.48E-04,0.033856096,0.044525774,-1.69E-04,-1.24E-04,450,0.002222222,-0.018434228,0.465121683,-0.022073329,-0.014822502,0.411282869,0.506014881,588.1001852,0.002222222
tree_4,all,40,998.0295888,992.2594943,912.3354684,0.00758032,0.00479833,0.010230089,450,0.002222222,0.041372583,-1.55E-04,0.035783994,0.045342077,-1.77E-04,-1.32E-04,381.9819945,0.002222222,-0.018627943,0.468943816,-0.022027621,-0.015307061,0.428243965,0.515602552,450,0.002222222
tree_4,all,41,993.5687275,988.999908,911.0607679,0.007238501,0.004538485,0.010188866,450,0.002222222,0.040458297,-1.51E-04,0.035468029,0.045383586,-1.73E-04,-1.27E-04,450,0.002222222,-0.018320522,0.4640032,-0.021611827,-0.015134538,0.421825017,0.504967282,450,0.002222222
tree_4,all,42,986.3287486,984.8898693,910.3336957,0.006856609,0.004551487,0.009818773,450,0.002222222,0.038919662,-1.44E-04,0.03347362,0.044788275,-1.68E-04,-1.17E-04,450,0.002222222,-0.018367344,0.463213918,-0.022102429,-0.015229684,0.413426345,0.507145943,450,0.002222222
tree_4,all,43,981.9757714,984.6727663,913.9141656,0.005613779,0.003113171,0.008205648,450,0.002222222,0.037946972,-1.42E-04,0.030895025,0.043801065,-1.65E-04,-1.10E-04,450,0.002222222,-0.018596646,0.463227603,-0.021702881,-0.01516779,0.421291567,0.509805852,450,0.002222222
tree_4,all,44,993.9532915,990.8656427,917.5865909,0.007273547,0.004661111,0.009950784,450,0.002222222,0.040148475,-1.49E-04,0.035095091,0.04541587,-1.74E-04,-1.26E-04,450,0.002222222,-0.018620651,0.468133833,-0.021936177,-0.015206114,0.423059138,0.511101978,450,0.002222222
tree_4,all,45,986.9780176,983.7917972,908.7973297,0.006351501,0.003968065,0.009064011,450,0.002222222,0.038056327,-1.42E-04,0.032148768,0.042362907,-1.64E-04,-1.18E-04,347.7858345,0.002222222,-0.017924584,0.453152765,-0.021098656,-0.014269099,0.406244839,0.495530216,389.60809,0.002222222
tree_4,all,46,982.7037376,987.3036045,916.6881303,0.005646934,0.002828077,0.008264766,450,0.002222222,0.037775593,-1.41E-04,0.031775842,0.043386509,-1.68E-04,-1.17E-04,450,0.002222222,-0.018590735,0.463362188,-0.022335222,-0.015430519,0.419195077,0.512001992,450,0.002222222
tree_4,all,47,994.4425461,988.7000872,909.8160504,0.007500715,0.00510098,0.010347895,349.8339224,0.002222222,0.04108483,-1.53E-04,0.036574022,0.046104654,-1.75E-04,-1.32E-04,450,0.002222222,-0.018298755,0.463978563,-0.021408687,-0.014564364,0.417826075,0.507177509,450,0.002222222
tree_4,all,48,988.5051966,987.9240471,914.4037091,0.006322599,0.003472779,0.009275876,450,0.002222222,0.039097233,-1.46E-04,0.033347737,0.04405212,-1.69E-04,-1.19E-04,450,0.002222222,-0.018585703,0.465263446,-0.021698463,-0.014796434,0.417026125,0.509441201,450,0.002222222
tree_4,all,49,990.8923073,988.2834841,912.2851057,0.007315918,0.004505436,0.009856452,386.1232958,0.002222222,0.039434543,-1.45E-04,0.034423885,0.044184407,-1.69E-04,-1.22E-04,450,0.002222222,-0.017793794,0.457004556,-0.021451116,-0.014654818,0.410983092,0.508612122,450,0.002222222
tree_4,all,50,991.0599538,990.6382887,914.5106045,0.006986734,0.004456321,0.009780934,450,0.002222222,0.038993176,-1.44E-04,0.034034152,0.04458303,-1.68E-04,-1.20E-04,513.109507,0.002222222,-0.017919346,0.457438871,-0.021625285,-0.015121962,0.416371063,0.50132949,580.8631168,0.002222222
tree_4,orni,1,936.3874572,907.1079693,890.5478249,0.007383852,0.004686213,0.009978871,391.1256141,0.002222222,0.037331184,-1.31E-04,0.030769716,0.043036918,-1.58E-04,-1.04E-04,450,0.002222222,-0.013821406,0.395450833,-0.01843466,-0.009641194,0.338440609,0.467095868,450,0.002222222
tree_4,orni,2,948.2511816,918.5785464,901.1833551,0.007272349,0.00437155,0.009911713,450,0.002222222,0.037196518,-1.31E-04,0.031521278,0.042948541,-1.55E-04,-1.04E-04,294.7430922,0.002222222,-0.013908563,0.394834085,-0.018549218,-0.009711756,0.321940052,0.45258525,450,0.002222222
tree_4,orni,3,942.9070506,912.1697272,895.4115304,0.00722215,0.004491942,0.009962517,450,0.002222222,0.037455639,-1.32E-04,0.031135067,0.042771211,-1.56E-04,-1.01E-04,450,0.002222222,-0.014080265,0.398022014,-0.018672534,-0.009343566,0.332173795,0.458248288,450,0.002222222
tree_4,orni,4,942.9875768,912.6147723,896.0418384,0.007374387,0.004570459,0.009954974,450,0.002222222,0.037318966,-1.31E-04,0.032099927,0.043348442,-1.59E-04,-1.05E-04,451.8371742,0.002222222,-0.013674303,0.392478108,-0.017802852,-0.009158035,0.329054346,0.457787165,554.4591392,0.002222222
tree_4,orni,5,937.0157446,907.3417201,890.6367079,0.00728418,0.004198341,0.010319437,371.2980707,0.002222222,0.037089651,-1.30E-04,0.03086555,0.042985741,-1.59E-04,-1.05E-04,450,0.002222222,-0.013952702,0.395843402,-0.0179683,-0.009018971,0.333103289,0.467082592,450,0.002222222
tree_4,orni,6,944.2186434,914.6235375,898.5524255,0.007378712,0.004667348,0.009831086,543.4128945,0.002222222,0.037638265,-1.32E-04,0.032186961,0.043023129,-1.56E-04,-1.03E-04,450,0.002222222,-0.013722628,0.395072377,-0.017719171,-0.009039001,0.329350338,0.4568949,450,0.002222222
tree_4,orni,7,943.2989282,912.6728629,895.2876309,0.007211488,0.004487397,0.009832377,450,0.002222222,0.037105321,-1.30E-04,0.031518075,0.04278768,-1.51E-04,-9.97E-05,521.1800962,0.002222222,-0.013885695,0.394973822,-0.018218155,-0.009026795,0.328064296,0.456826144,549.3747181,0.002222222
tree_4,orni,8,936.5097122,907.0216615,890.6839661,0.007436773,0.004900056,0.010258713,572.1649919,0.002222222,0.037189885,-1.30E-04,0.031314477,0.042465318,-1.55E-04,-1.04E-04,386.2983621,0.002222222,-0.013755551,0.394621634,-0.018502302,-0.00866111,0.3197301,0.462246964,450,0.002222222
tree_4,orni,9,941.996811,911.4272858,894.6986208,0.007373811,0.004655732,0.010180098,1273.366542,0.002222222,0.037275084,-1.30E-04,0.030916176,0.042725982,-1.56E-04,-1.04E-04,450,0.002222222,-0.013918298,0.39678145,-0.017885053,-0.009639896,0.334766879,0.455761218,450,0.002222222
tree_4,orni,10,941.8070097,912.4188911,895.9578437,0.007332654,0.004550287,0.010284868,450,0.002222222,0.037587049,-1.32E-04,0.032430352,0.044149292,-1.56E-04,-1.03E-04,471.9562468,0.002222222,-0.013713183,0.393683634,-0.018330156,-0.009427715,0.339363783,0.471920078,379.1589493,0.002222222
tree_4,orni,11,936.7996409,907.3495743,890.6969591,0.007424287,0.004838967,0.01084443,519.7296332,0.002222222,0.037628591,-1.33E-04,0.031903375,0.043722768,-1.61E-04,-1.07E-04,365.1235118,0.002222222,-0.013841428,0.396279846,-0.017894604,-0.008779519,0.331800716,0.45892115,450,0.002222222
tree_4,orni,12,948.2554461,916.6798133,900.0469314,0.007180591,0.004040279,0.00981874,392.7986284,0.002222222,0.037366484,-1.31E-04,0.031057237,0.042516977,-1.58E-04,-1.06E-04,450,0.002222222,-0.014151446,0.398534657,-0.01831008,-0.009372191,0.337478989,0.471584284,419.1565262,0.002222222
tree_4,orni,13,937.0469394,907.6178201,890.676302,0.007465195,0.005123542,0.01070554,450,0.002222222,0.036977935,-1.30E-04,0.030787884,0.042243631,-1.58E-04,-1.06E-04,585.9263214,0.002222222,-0.013908475,0.396172328,-0.018949754,-0.009203791,0.332168939,0.477034228,450,0.002222222
tree_4,orni,14,950.5615267,920.5913006,904.2217834,0.007276633,0.004221394,0.0101091,450,0.002222222,0.037299473,-1.31E-04,0.031520096,0.043682924,-1.58E-04,-1.03E-04,450,0.002222222,-0.014063311,0.399549561,-0.018803682,-0.009522802,0.330642027,0.467474093,450,0.002222222
tree_4,orni,15,942.1142814,913.2159426,896.7038986,0.007320076,0.004521452,0.010077909,450,0.002222222,0.037368596,-1.31E-04,0.031976934,0.043259952,-1.55E-04,-1.05E-04,450,0.002222222,-0.014016642,0.397668689,-0.018732862,-0.009695814,0.332462491,0.462834494,450,0.002222222
tree_4,orni,16,947.6866053,918.3565228,901.0080714,0.007045017,0.00421706,0.010079925,450,0.002222222,0.03748864,-1.32E-04,0.031200522,0.042779839,-1.61E-04,-1.08E-04,450,0.002222222,-0.014095473,0.399475133,-0.018158672,-0.009588838,0.336855645,0.467995388,450,0.002222222
tree_4,orni,17,948.2865942,918.0194122,901.3268932,0.00718216,0.004362953,0.010038993,450,0.002222222,0.037690989,-1.33E-04,0.032836483,0.043925525,-1.56E-04,-1.06E-04,450,0.002222222,-0.014003507,0.398019931,-0.018483031,-0.009615131,0.330433707,0.463637182,450,0.002222222
tree_4,orni,18,942.61668,913.0089434,895.3852878,0.007289728,0.00467509,0.009912939,450,0.002222222,0.037238767,-1.31E-04,0.031376544,0.042807591,-1.57E-04,-1.06E-04,450,0.002222222,-0.013948946,0.396259267,-0.018057088,-0.009561127,0.331216921,0.45833326,450,0.002222222
tree_4,orni,19,947.3934016,916.5953191,900.1692374,0.007214223,0.004786344,0.010010425,488.5703374,0.002222222,0.037648324,-1.32E-04,0.031686239,0.043204248,-1.57E-04,-1.05E-04,450,0.002222222,-0.014112337,0.39904962,-0.018131889,-0.008906422,0.334057475,0.465770142,450,0.002222222
tree_4,orni,20,936.4843718,907.2671519,890.6475582,0.007343221,0.004590299,0.010356017,300.2063393,0.002222222,0.037175127,-1.30E-04,0.030368066,0.042538592,-1.60E-04,-1.05E-04,450,0.002222222,-0.013910336,0.397059353,-0.01792166,-0.009331065,0.339772298,0.463109706,450,0.002222222
tree_4,orni,21,937.7243828,908.3419393,890.6923377,0.007356967,0.004441509,0.009809087,450,0.002222222,0.037232136,-1.31E-04,0.030272209,0.042591149,-1.56E-04,-1.02E-04,450,0.002222222,-0.01400519,0.398335395,-0.018743661,-0.009924126,0.327112349,0.463869183,450,0.002222222
tree_4,orni,22,938.1667331,907.218093,890.6045642,0.007156199,0.00430244,0.009843994,334.6780425,0.002222222,0.037199865,-1.31E-04,0.031762037,0.042925648,-1.57E-04,-1.08E-04,450,0.002222222,-0.013994462,0.396273552,-0.018612155,-0.009798881,0.332364678,0.469672426,450,0.002222222
tree_4,orni,23,948.7233561,919.3474746,902.8926797,0.0075075,0.005011843,0.010666837,450,0.002222222,0.03717946,-1.30E-04,0.031535035,0.042886953,-1.55E-04,-1.03E-04,450,0.002222222,-0.01367985,0.393544106,-0.018120487,-0.009401895,0.337176299,0.46365016,450,0.002222222
tree_4,orni,24,942.451967,913.3939413,896.1617712,0.00736386,0.00447603,0.010008957,450,0.002222222,0.037464218,-1.32E-04,0.031720632,0.043002083,-1.56E-04,-1.05E-04,450,0.002222222,-0.013916548,0.396798509,-0.018642009,-0.009498058,0.324688778,0.464094344,450,0.002222222
tree_4,orni,25,948.4196196,917.8666084,901.0949565,0.007177885,0.004298003,0.009784047,450,0.002222222,0.037770833,-1.33E-04,0.032290395,0.044129141,-1.60E-04,-1.08E-04,560.4750345,0.002222222,-0.01392687,0.397060023,-0.018538289,-0.009691938,0.335120097,0.460804821,220.9798241,0.002222222
tree_4,orni,26,941.4354974,911.5753095,894.4912994,0.007373311,0.004534222,0.010070583,450,0.002222222,0.037223694,-1.30E-04,0.031708032,0.043145713,-1.56E-04,-1.05E-04,450,0.002222222,-0.013697797,0.393478575,-0.018280493,-0.009636149,0.332936956,0.461362784,450,0.002222222
tree_4,orni,27,936.7960143,906.8583966,890.8534486,0.007320392,0.004370068,0.010198892,450,0.002222222,0.037263219,-1.30E-04,0.032111221,0.043563012,-1.56E-04,-1.05E-04,386.5101018,0.002222222,-0.014134879,0.400298114,-0.018466121,-0.00897058,0.339500832,0.481692994,450,0.002222222
tree_4,orni,28,942.1035286,912.4012898,895.2697038,0.007306022,0.004684223,0.009921792,389.883031,0.002222222,0.037044018,-1.30E-04,0.030399509,0.04270719,-1.59E-04,-1.03E-04,450,0.002222222,-0.01386181,0.395138449,-0.018289109,-0.008841056,0.327121141,0.46330141,450,0.002222222
tree_4,orni,29,948.0062755,918.3318103,900.6634792,0.007265789,0.004561567,0.010040907,348.3888409,0.002222222,0.037063285,-1.30E-04,0.031706183,0.042230969,-1.56E-04,-1.06E-04,450,0.002222222,-0.013758974,0.393817564,-0.017942793,-0.009298788,0.325138823,0.456181818,450,0.002222222
tree_4,orni,30,952.5609516,922.9554748,904.7081204,0.007457535,0.004215513,0.009706254,450,0.002222222,0.037414616,-1.31E-04,0.031443043,0.043345331,-1.59E-04,-1.05E-04,383.7413155,0.002222222,-0.013435405,0.391782938,-0.018038233,-0.009537081,0.32956465,0.455761301,450,0.002222222
