identified_name,identified_rank,difference,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
Arrhinoceratops ? n. sp. utahensis,species,recombined as,Triceratops_utahensis,species,Maastrichtian,,72.1,66
,,,,,,,,
Turanoceratops tardabilis,species,,Turanoceratops_tardabilis,species,Middle Turonian,Late Turonian,93.5,89.3
,,,,,,,,
Udanoceratops aff. tschizhovi,species,,Udanoceratops_tschizhovi,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Unescoceratops n. sp. koppelhusae,species,,Unescoceratops_koppelhusae,species,Middle Campanian,,83.5,70.6
,,,,,,,,
n. gen. Utahceratops n. sp. gettyi,species,,Utahceratops_gettyi,species,Late Campanian,,83.5,70.6
,,,,,,,,
Chasmosaurus irvinensis,species,recombined as,Vagaceratops_irvinensis,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Wendiceratops n. sp. pinhornensis,species,,Wendiceratops_pinhornensis,species,Middle Campanian,,83.5,70.6
,,,,,,,,
n. gen. Xenoceratops n. sp. foremostensis,species,,Xenoceratops_foremostensis,species,Middle Campanian,,83.5,70.6
,,,,,,,,
n. gen. Xuanhuaceratops n. sp. niei,species,,Xuanhuaceratops_niei,species,Late Jurassic,,163.5,145
,,,,,,,,
n. gen. Yamaceratops n. sp. dorngobiensis,species,,Yamaceratops_dorngobiensis,species,Santonian,,86.3,83.6
,,,,,,,,
n. gen. Yehuecauhceratops n. sp. mudei,species,,Yehuecauhceratops_mudei,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Yinlong n. sp. downsi,species,,Yinlong_downsi,species,Oxfordian,,163.5,157.3
,,,,,,,,
n. gen. Zhuchengceratops n. sp. inexpectus,species,,Zhuchengceratops_inexpectus,species,Campanian,,83.6,72.1
,,,,,,,,
Zuniceratops christopheri,species,,Zuniceratops_christopheri,species,Middle Turonian,,93.5,89.3
