name,max_ma,min_ma
Brachylophosaurus_canadensis,83.5,70.6
Brachytrachelopan,150.8,145.5
Buitreraptor,99.6,99.6
Byronosaurus,83.5,70.6
Caenagnathasia,93.5,89.3
Caenagnathus,70.6,70.6
Callovosaurus_leedsi,161.2,161.2
Camarasaurus_grandis,155.7,145.5
Camarasaurus_lewisi,155.7,145.5
Camarasaurus_supremus,155.7,145.5
Camelotia,203.6,199.6
Camptosaurus_dispar,155.7,145.5
Carcharodontosaurus,99.6,99.6
Carnotaurus,83.5,70.6
Cathartesaura,93.5,89.3
Cathayornis,136.4,125
Caudipteryx,125,125
Cedarorestes_crichtoni,130,125
Cedarosaurus,130,125
Cedarpelta_bilbeyhallorum,99.6,99.6
Centrosaurus_apertus,83.5,70.6
Centrosaurus_brinkmani,70.6,70.6
Cerasinops_hodgskissi,83.5,70.6
Ceratosaurus,155.7,145.5
Cetiosauriscus,161.2,161.2
Cetiosaurus,164.7,164.7
Changchengornis,125,125
Changchunsaurus_parvus,99.6,99.6
Chaoyangia,125,112
Chaoyangsaurus_youngi,145.5,136.4
Charonosaurus_jiayinensis,65.5,65.5
Chasmosaurus_belli,70.6,70.6
Chasmosaurus_russelli,70.6,70.6
Chilantaisaurus,93.5,89.3
Chirostenotes,70.6,70.6
Chromogisaurus,228,216.5
Chuandongocoelurus,171.6,161.2
Chuanjiesaurus,161.2,155.7
Chubutisaurus,125,112
Chungkingosaurus_jiangbeiensis,161.2,155.7
Chuxiongosaurus,199.6,189.6
Citipati,70.6,70.6
Claosaurus_agilis,85.8,83.5
Coahuilaceratops_magnacuerna,70.6,70.6
Coelophysis_bauri,216.5,199.6
Coelophysis_rhodesiensis,199.6,189.6
Colepiocephale_lambei,70.6,70.6
Coloradisaurus,216.5,203.6
Comahuesaurus,125,112
Compsognathus,150.8,150.8
Concavenator,125,125
Conchoraptor,83.5,70.6
Concornis,125,125
Condorraptor,171.6,161.2
Confuciusornis_dui,125,125
Confuciusornis_sanctus,125,125
Corythosaurus_casuarius,70.6,70.6
Corythosaurus_intermedius,70.6,70.6
Crichtonsaurus_benxiensis,99.6,89.3
Crichtonsaurus_bohlini,99.6,89.3
Cryolophosaurus,196.5,183
Cumnoria_prestwichii,155.7,150.8
CV00214,161.2,155.7
D_sinensis,199.6,189.6
Dacentrurus_armatus,150.8,150.8
Daemonosaurus,216.5,203.6
Dakotadon_lakotaensis,130,125
Daspletosaurus,83.5,70.6
Datousaurus,171.6,161.2
Deinonychus,70.6,70.6
Demandasaurus,125,125
Diabloceratops_eatoni,83.5,70.6
Dicraeosaurus_sattleri,150.8,145.5
Dilong,125,125
Dilophosaurus,196.5,183
Diodorus_scytobrachion,228,216.5
Diplodocus_carnegiei,155.7,145.5
Diplodocus_hallorum,155.7,145.5
Diplodocus_hayi,155.7,145.5
Diplodocus_longus,155.7,145.5
Dongbeititan,130,125
Dromaeosaurus,83.5,70.6
Dromiceomimus,70.6,65.5
Dromomeron_gregorii,228,203.6
Dromomeron_romeri,216.5,203.6
Dryosaurus_altus,155.7,145.5
Dryptosaurus,65.5,65.5
Dubreuillosaurus,167.7,164.7
Duriavenator,167.7,167.7
Dyoplosaurus_acutesquamous,83.5,70.6
Dysalotosaurus_lettowvorbecki,155.7,150.8
Echinodon_becklesii,145.5,140.2
Edmontonia_longiceps,83.5,70.6
Edmontonia_rugosidens,65.5,65.5
Edmontosaurus_annectens,65.5,65.5
Edmontosaurus_regalis,70.6,70.6
Efraasia,216.5,203.6
Einiosaurus_procurvicornis,83.5,70.6
Ekrixinatosaurus,99.6,99.6
Elaphrosaurus,150.8,145.5
Elmisaurus,70.6,70.6
Elrhazosaurus_nigeriensis,125,99.6
Elsornis,70.6,70.6
Emausaurus_ernsti,183,183
Enaliornis,99.6,99.6
Enigmosaurus,99.6,89.3
Eoabelisaurus,175.6,167.7
Eoalulavis,125,125
Eocarcharia,125,99.6
Eocathayornis,125,112
Eoconfuciusornis,136.4,125
Eoenantiornis,125,125
Eolambia_caroljonesa,99.6,99.6
Eoraptor,228,216.5
Eotriceratops_xerinsularis,70.6,70.6
Eotyrannus,130,125
Epachthosaurus,99.6,93.5
Epidexipteryx,167.7,164.7
Equijubus_normani,130,112
Erketu,93.5,83.5
Erliansaurus,83.5,65.5
Erlikosaurus,99.6,89.3
Eucnemesaurus,216.5,199.6
Eucoelophysis_baldwini,216.5,199.6
Euhelopus,130,112
Euoplocephalus_tutus,70.6,70.6
Europasaurus,155.7,150.8
Eustreptospondylus,161.2,161.2
Falcarius,130,125
Ferganasaurus,164.7,161.2
French_Bothriospondylus,155.7,155.7
Fruitadens_haagarorum,150.8,150.8
Fukuiraptor,130,125
Futalognkosaurus,89.3,89.3
Gallimimus,70.6,70.6
Galveosaurus,145.5,145.5
Gansus,125,112
Gargoyleosaurus_parkpinorum,155.7,145.5
Garudimimus,99.6,89.3
Gasparinisaura_cincosaltensis,83.5,70.6
Gastonia_burgei,130,125
Genusaurus,112,99.6
Genyodectes,125,112
Gideonmantellia_amosanjuanae,130,125
Giganotosaurus,99.6,99.6
Gigantoraptor,83.5,65.5
Gilmoreosaurus_mongolensis,93.5,83.5
Giraffatitan,150.8,145.5
Glacialisaurus,199.6,175.6
Gobipteryx,83.5,70.6
Gobisaurus_domoculus,93.5,89.3
Gobititan,112,99.6
Gondwanatitan,93.5,83.5
Gongxianosaurus,183,175.6
Gorgosaurus,83.5,70.6
Goyocephale_lattimorei,70.6,70.6
Graciliceratops_mongoliensis,99.6,83.5
Graciliraptor,125,125
Gryphoceratops_morrisoni,83.5,83.5
Gryposaurus_latidens,83.5,70.6
Gryposaurus_monumentensis,70.6,70.6
Gryposaurus_notabilis,83.5,70.6
Guanlong,161.2,155.7
Hagryphus,70.6,70.6
Hanssuesia_sternbergi,83.5,70.6
Haplocanthosaurus_priscus,155.7,145.5
Haplocheirus,161.2,155.7
Harpymimus,112,99.6
Haya_griva,85.8,83.5
Herrerasaurus,228,216.5
Hesperonychus,70.6,70.6
Hesperornis,89.3,83.5
Heterodontosaurus_tucki,199.6,189.6
Hexing,89.3,83.5
Hexinlusaurus_multidens,171.6,161.2
Heyuannia,70.6,65.5
Hippodraco_scutodens,130,125
Hollanda,83.5,70.6
Homalocephale_calathocercos,70.6,70.6
Hongshanornis,125,125
Hoplitosaurus_marshi,130,125
Huayangosaurus_taibaii,171.6,161.2
Huixagnathus,125,125
Hungarosaurus_tormai,85.8,83.5
Hylaeosaurus_armatus,140.2,136.4
Hypacrosaurus_altispinus,70.6,70.6
Hypacrosaurus_stebingeri,83.5,70.6
Hypsilophodon_foxi,125,125
Iberomesornis,125,125
Ichthyornis,93.5,83.5
IGM100/1126,83.5,70.6
IGM100/1323,83.5,70.6
IGM100/44,99.6,99.6
Iguanacolossus_fortis,130,125
Iguanodon_bernissartensis,130,125
Ilokelesia,93.5,89.3
Incisivosaurus,125,125
Indosaurus,70.6,65.5
Ingenia,83.5,70.6
Irritator,112,99.6
Isanosaurus,216.5,199.6
Isisaurus,70.6,65.5
Janenschia,150.8,145.5
Jaxartosaurus_aralensis,89.3,83.5
Jeholornis,125,112
Jeholosaurus_shangyuanensis,125,125
Jeyawati_rugoculus,89.3,89.3
Jianchangornis,125,112
Jinfengopteryx,145.5,99.6
Jingshanosaurus,199.6,189.6
Jinzhouornis_zhangjiyingia,125,125
Jinzhousaurus_yangi,125,112
Jixianornis,125,125
Jobaria,175.6,145.5
Kangnasaurus_coetzeei,99.6,65.5
Kentrosaurus_aethiopicus,150.8,145.5
Kerberosaurus_manakini,65.5,65.5
Khaan,70.6,70.6
Klamelisaurus,161.2,155.7
Koreaceratops_hwaseongensis,112,99.6
Koreanosaurus_boseongensis,85.8,70.6
Kosmoceratops_richardsoni,70.6,70.6
Kotasaurus,199.6,175.6
Kritosaurus_navajovius,70.6,65.5
Kundurosaurus_nagornyi,65.5,65.5
Laevisuchus,70.6,65.5
Lagerpeton_chanarensis,237,228
Lambeosaurus_clavintialis,70.6,70.6
Lambeosaurus_lambei,70.6,70.6
Lambeosaurus_magnicristatus,70.6,70.6
Lamplughsaura,196.5,189.6
Lanzhousaurus_magnidens,145.5,99.6
Leonerasaurus,199.6,175.6
Leptoceratops_gracilis,70.6,65.5
Leptorhynchos,70.6,70.6
Leshansaurus,161.2,155.7
Lesothosaurus_diagnosticus,199.6,189.6
Lessemsaurus,216.5,203.6
Lewisuchus_admixtus,237,228
Leyesaurus,199.6,189.6
Liaoceratops_yanzigouensis,125,125
Liaoningornis,125,125
Ligabuesaurus,112,112
Liliensternus,203.6,199.6
Limaysaurus,99.6,99.6
Limenavis,70.6,70.6
Limusaurus,161.2,155.7
Linhevenator,70.6,70.6
Longicrusavis,125,125
Longipteryx,125,112
Longirostravis,125,125
Lophorhothon_atopus,83.5,83.5
Loricatosaurus_priscus,161.2,161.2
Lourinhasaurus,150.8,150.8
Lufengosaurus,199.6,189.6
Lusotitan,150.8,150.8
Lycorhinus_angustidens,199.6,189.6
Machairasaurus,70.6,70.6
Macrogryphosaurus_gondwanicus,85.8,85.8
Magnapaulia_laticaudus,70.6,70.6
Magnosaurus,171.6,171.6
Maiasaura_peeblesorum,83.5,70.6
Majungasaurus,70.6,65.5
Makhala,70.6,70.6
Malawisaurus,145.5,99.6
Mamenchisaurus_constructus,161.2,155.7
Mamenchisaurus_youngi,161.2,155.7
Manidens_condorensis,175.6,167.7
Mantellisaurus_atherfieldensis,136.4,125
Mapusaurus,93.5,89.3
Marasuchus_lilloensis,237,228
Marshosaurus,155.7,145.5
Masiakasaurus,70.6,65.5
Massospondylus,199.6,189.6
Megalosaurus,167.7,164.7
Megaraptor,89.3,89.3
Mei,125,125
Melanorosaurus,216.5,199.6
Mendozasaurus,85.8,85.8
Metriacanthosaurus,161.2,161.2
Micropachycephalosaurus_hongtuyanensis,83.5,70.6
Microraptor_gui,125,112
Microraptor_zhaoianus,125,112
Microvenator,125,99.6
Minmi_paravertebra,140.2,125
Minotaurasaurus_ramachandrani,83.5,70.6
Mochlodon_suessi,83.5,83.5
Mochlodon_vorosi,85.8,83.5
Monolophosaurus,164.7,161.2
Mononykus,70.6,70.6
Montanoceratops_cerorynchus,70.6,70.6
Muttaburrasaurus_langdoni,99.6,99.6
Muyelensaurus,85.8,85.8
Mymoorapelta_maysi,155.7,145.5
Nanshiungosaurus,83.5,65.5
Nanyangosaurus_zhugeii,112,99.6
Nedoceratops_hatcheri,65.5,65.5
Neimongosaurus,83.5,65.5
Nemegtomaia,70.6,70.6
Nemegtosaurus,70.6,70.6
Neovenator,130,125
Neuquenornis,85.8,83.5
Neuquensaurus,83.5,70.6
Nigersaurus,125,99.6
Niobrarasaurus_coleii,85.8,83.5
Noasaurus,70.6,70.6
Nodocephalosaurus_kirtlandensis,70.6,70.6
Nodosaurus_textilis,93.5,93.5
Nothronychus_graffami,93.5,89.3
Nothronychus_mckinleyi,93.5,89.3
Nqwebasaurus,145.5,136.4
Ojoceratops_fowleri,70.6,70.6
Olorotitan_arharensis,65.5,65.5
Omeisaurus_jiaoi,171.6,161.2
Omeisaurus_junghsiensis,171.6,161.2
Omeisaurus_maoanus,171.6,161.2
Omeisaurus_tianfuensis,171.6,161.2
Opisthocoelicaudia,70.6,70.6
Ornitholestes,155.7,145.5
Ornithomimus,70.6,70.6
Orodromeus_makelai,83.5,65.5
Oryctodromeus_cubicularis,99.6,93.5
Otogornis,136.4,125
Ouranosaurus_nigeriensis,125,99.6
Oviraptor,70.6,70.6
Pachycephalosaurus_wyomingensis,70.6,65.5
Pachyrhinosaurus_canadensis,70.6,70.6
Pachyrhinosaurus_lakustai,70.6,70.6
Pachyrhinosaurus_perotorum,70.6,70.6
Pampdromaeus,228,216.5
Panoplosaurus_mirus,70.6,70.6
Pantydraco,203.6,199.6
Parahesperornis,89.3,83.5
Paranthodon_africanus,145.5,136.4
Pararhabdodon_isonensis,70.6,65.5
Parasaurolophus_cyrtoctristatus,70.6,70.6
Parasaurolophus_walkeri,70.6,70.6
Parksosaurus_warreni,70.6,70.6
Parvicursor,83.5,70.6
Patagonykus,89.3,89.3
Patagopteryx,85.8,83.5
Patagosaurus,175.6,167.7
Pawpawsaurus_campbelli,99.6,99.6
Pegomastax_africanus,199.6,189.6
Pelecanimimus,125,125
Peloroplites_cedrimontanus,99.6,99.6
Pelorosaurus_becklesii,130,125
Penelopognathus_weishampeli,125,112
Pengornis,125,112
Pentaceratops_sternbergii,70.6,70.6
Phuwiangosaurus,130,112
Piatnizkysaurus,171.6,161.2
Pinacosaurus_grangeri,83.5,70.6
Pinacosaurus_mephistocephalus,70.6,70.6
Pisanosaurus_mertii,228,216.5
Piveaeausaurus,161.2,161.2
Plateosauravus,216.5,199.6
Plateosaurus_engelhardti,203.6,199.6
Polacanthus_foxii,136.4,130
Prenocephale_prenes,70.6,70.6
Prenoceratops_pieganensis,83.5,70.6
Probactrosaurus_gobiensis,130,99.6
Probactrosaurus_mazongshanensis,130,112
Proceratosaurus,167.7,164.7
Prosaurolophus_maximus,70.6,70.6
Protarchaeopteryx,125,125
Protoceratops_andrewsi,70.6,70.6
Protohadros_byrdi,93.5,93.5
Protopteryx,130,130
Psittacosaurus_gobiensis,125,112
Psittacosaurus_mongoliensis,145.5,130
Psittacosaurus_neimongoliensis,140.2,99.6
Psittacosaurus_sinensis,125,112
Qiaowanlong,125,99.6
Rahonavis,70.6,65.5
Rajasaurus,70.6,65.5
Rapaxavis,125,112
Rebbachisaurus,112,93.5
Rhabdodon_priscum,70.6,70.6
Rhoetosaurus,164.7,161.2
Rinchenia,70.6,70.6
Rinconsaurus,89.3,85.8
Riojasaurus,216.5,203.6
Rocasaurus,70.6,70.6
Rubeosaurus_ovatus,70.6,70.6
Ruehleia,203.6,199.6
Rugops,99.6,93.5
Ruyangosaurus,99.6,89.3
Sacisaurus_agudoensis,216.5,203.6
Sahaliyania_elunchunorum,65.5,65.5
Saichania_chulsanensis,83.5,70.6
Saltasaurus,70.6,70.6
Sapeornis,125,112
Sarahsaurus,196.5,183
Saturnalia,228,216.5
Saurolophus_angustirostris,70.6,70.6
Saurolophus_osborni,70.6,65.5
Sauropelta_edwardsi,112,112
Saurophaganax,150.8,145.5
Sauroposeidon,112,99.6
Saurornithoides,70.6,70.6
Saurornitholestes,83.5,70.6
Scelidosaurus_harrisonii,196.5,189.6
Schizooura,125,112
Scutellosaurus_lawleri,196.5,183
Secernosaurus_koerneri,70.6,70.6
Segnosaurus,99.6,89.3
Seitaad,189.6,175.6
Shamosaurus_scutatus,125,99.6
Shanag,145.5,130
Shantungosaurus_giganteus,83.5,70.6
Shanweiniao,125,125
Shaochilong,93.5,89.3
Shenqiornis,145.5,99.6
Shenzhousaurus,125,125
Shidaisaurus,175.6,161.2
Shuangmiaosaurus_gilmorei,99.6,89.3
Shunosaurus,171.6,161.2
Shuvuuia,70.6,70.6
Siamotyrannus,130,112
Silesaurus_opolensis,228,203.6
Silvisaurus_condrayi,112,99.6
Similicaudipteryx,125,112
Sinornithoides,140.2,99.6
Sinornithomimus,93.5,89.3
Sinornithosaurus,125,112
Sinosauropteryx,125,125
Sinotyrannus,125,112
Sinovenator,125,125
Sinraptor_dongi,161.2,155.7
Sinraptor_hepingensis,161.2,155.7
Skayentakatae,196.5,183
Skorpiovenator,93.5,89.3
Songlingornis,125,112
Sonorasaurus,112,93.5
Spinophorosaurus,175.6,161.2
Spinops_sternbergorum,70.6,70.6
Spinosaurus,99.6,99.6
Spinostropheus,175.6,145.5
Staurikosaurus,228,216.5
Stegoceras_novomexicanum,70.6,70.6
Stegoceras_validum,83.5,70.6
Stegopelta_landerensis,93.5,93.5
Stegosaurus_mjosi,155.7,155.7
Stegosaurus_stenops,155.7,145.5
Stegosaurus_ungulatus,155.7,145.5
Stokesosaurus,155.7,145.5
Stormbergia_dangershoeki,199.6,189.6
Struthiomimus,83.5,65.5
Struthiosaurus_transilvanicus,70.6,65.5
Styracosaurus_albertensis,70.6,70.6
Suchomimus,125,112
Suuwassea,155.7,145.5
Suzhousaurus,125,99.6
Talarurus_plicatospineus,93.5,83.5
Talenkauen_santacrucensis,70.6,70.6
Tangvayosaurus,125,99.6
Tanius_sinensis,83.5,70.6
Tanycolagreus,155.7,145.5
Tapuiasaurus,125,112
Tarbosaurus,83.5,65.5
Tarchia_gigantea,83.5,70.6
Tarchia_kielanae,83.5,70.6
Tastavinsaurus,125,125
Tatankacephalus_cooneyorum,112,112
Tawa,216.5,203.6
Tazoudasaurus,189.6,175.6
Tehuelchesaurus,155.7,145.5
Telmatosaurus_transsylvanicus,70.6,65.5
Tenontosaurus_dossi,112,112
Tenontosaurus_tilletti,112,112
Teratophoneus,70.6,70.6
Tethyshadros_insularis,70.6,70.6
Texasetes_pleurohalio,99.6,99.6
Thecodontosaurus,203.6,199.6
Theiophytalia_kerri,125,99.6
Therizinosaurus,70.6,70.6
Thescelosaurus_assiniboiensis,65.5,65.5
Thescelosaurus_neglectus,70.6,65.5
Tianyulong_confuciusi,164.7,155.7
Tianyuraptor,125,125
Tianzhenosaurus_youngi,99.6,65.5
Tornieria,150.8,145.5
Torosaurus_latus,70.6,65.5
Torvosaurus,155.7,145.5
Triceratops_horridus,70.6,65.5
Triceratops_prorsus,70.6,65.5
Troodon,70.6,70.6
Tsaagan,83.5,70.6
Tsagantegia_longicranialis,93.5,83.5
Tsintaosaurus_spinorhinus,83.5,70.6
Tuojiangosaurus_multispinus,161.2,155.7
Turanoceratops_tardabilis,89.3,89.3
Turiasaurus,150.8,145.5
Tylocephale_gilmorei,83.5,70.6
Tyrannosaurus,70.6,65.5
Tyrannotitan,125,112
Udanoceratops_tschizhovi,83.5,70.6
Unaysaurus,216.5,203.6
Unenlagia,89.3,89.3
Unescoceratops_koppelhusae,70.6,70.6
Utahceratops_gettyi,70.6,70.6
Utahraptor,125,125
Uteodon_aphanoecetes,155.7,145.5
Vagaceratops_irvinensis,70.6,70.6
Valdosaurus_canaliculatus,125,125
Vegavis,65.5,65.5
Velociraptor,83.5,70.6
Velocisaurus,85.8,83.5
Venenosaurus,125,112
Vescornis,125,125
Vorona,70.6,65.5
Vulcanodon,199.6,196.5
Willinakaqe_salitralensis,70.6,70.6
Wintonotitan,99.6,99.6
Wulagasaurus_dongi,65.5,65.5
Xiaotingia,164.7,155.7
Xiongguanlong,125,99.6
Xixiasaurus,89.3,83.5
Xuanhuaceratops_niei,171.6,161.2
Yamaceratops_dorngobiensis,85.8,83.5
Yangchuanosaurus_magnus,161.2,155.7
Yangchuanosaurus_zigongensis,171.6,161.2
Yanornis,125,112
Yinlong_downsi,161.2,155.7
Yixianornis,125,112
Yuanmousaurus_jiangyiensis,175.6,161.2
Yunnanosaurus_huangi,199.6,189.6
Zalmoxes_robustus,70.6,65.5
Zalmoxes_shqiperorum,70.6,70.6
Zanzabazaar,70.6,70.6
Zapalasaurus,125,125
Zephyrosaurus_schaffi,112,112
Zhejiangosaurus_lishuiensis,99.6,93.5
Zhongjianornis,125,112
Zhongornis,125,125
Zhongyuanosaurus_luoyangensis,99.6,89.3
Zhuchengceratops_inexpectus,83.5,70.6
Zuniceratops_christopheri,89.3,89.3
Zuolong,161.2,155.7
Zupaysaurus,216.5,203.6
