identified_name,identified_rank,difference,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
n. gen. Europasaurus n. sp. holgeri,species,,Europasaurus_holgeri,species,Kimmeridgian,,157.3,152.1
,,,,,,,,
n. gen. Europatitan n. sp. eastwoodi,species,,Europatitan_eastwoodi,species,Late Barremian,Early Aptian,130,122.46
,,,,,,,,
Faveoloolithus ningxiaensis,species,,Faveoloolithus_ningxiaensis,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Ferganasaurus n. sp. verzilini,species,,Ferganasaurus_verzilini,species,Callovian,,166.1,163.5
,,,,,,,,
n. gen. Fukuititan n. sp. nipponensis,species,,Fukuititan_nipponensis,species,Late Barremian,Aptian,130,113
,,,,,,,,
n. gen. Fusuisaurus n. sp. zhaoi,species,,Fusuisaurus_zhaoi,species,Aptian,,125,113
,,,,,,,,
n. gen. Futalognkosaurus n. sp. dukei,species,,Futalognkosaurus_dukei,species,Late Turonian,Early Coniacian,93.5,85.8
,,,,,,,,
Diplodocus n. sp. hayi,species,recombined as,Galeamopus_hayi,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
Galeamopus pabsti,species,,Galeamopus_pabsti,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
n. gen. Galvesaurus n. sp. herreroi,species,,Galvesaurus_herreroi,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
n. gen. Gannansaurus n. sp. sinensis,species,,Gannansaurus_sinensis,species,Maastrichtian,,72.1,66
,,,,,,,,
Brachiosaurus brancai,species,recombined as,Giraffatitan_brancai,species,Tithonian,,152.1,145
,,,,,,,,
n. gen. Gobititan n. sp. shenzhouensis,species,,Gobititan_shenzhouensis,species,Barremian,Aptian,129.4,113
,,,,,,,,
n. gen. Gondwanatitan n. sp. faustoi,species,,Gondwanatitan_faustoi,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
Pelorosaurus n. sp. becklesii,species,recombined as,Haestasaurus_becklesii,species,Late Berriasian,Valanginian,145,132.9
,,,,,,,,
Haplocanthosaurus n. sp. delfsi,species,,Haplocanthosaurus_delfsi,species,Kimmeridgian,,157.3,152.1
,,,,,,,,
n. gen. Haplocanthus n. sp. priscus,species,recombined as,Haplocanthosaurus_priscus,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
n. gen. Histriasaurus n. sp. boscarollii,species,,Histriasaurus_boscarollii,species,Late Hauterivian,Early Barremian,136.4,125.45
,,,,,,,,
n. gen. Huabeisaurus n. sp. allocotus,species,,Huabeisaurus_allocotus,species,Cenomanian,Campanian,100.5,72.1
,,,,,,,,
n. gen. Huanghetitan n. sp. liujiaxiaensis,species,,Huanghetitan_liujiaxiaensis,species,Aptian,,125,113
,,,,,,,,
n. gen. Huangshanlong n. sp. anhuiensis,species,,Huangshanlong_anhuiensis,species,Middle Jurassic,,174.1,163.5
,,,,,,,,
n. gen. Hudiesaurus n. sp. sinojapanorum,species,,Hudiesaurus_sinojapanorum,species,Late Jurassic,,163.5,145
,,,,,,,,
n. gen. Isanosaurus n. sp. attavipachi,species,,Isanosaurus_attavipachi,species,Norian,Rhaetian,228,201.3
,,,,,,,,
Titanosaurus n. sp. colberti,species,recombined as,Isisaurus_colberti,species,Maastrichtian,,72.1,66
,,,,,,,,
Antarctosaurus n. sp. septentrionalis,species,recombined as,Jainosaurus_septentrionalis,species,Maastrichtian,,72.1,66
,,,,,,,,
Gigantosaurus n. sp. robustus,species,recombined as,Janenschia_robusta,species,Tithonian,,152.1,145
,,,,,,,,
n. gen. Jiangshanosaurus n. sp. lixianensis,species,,Jiangshanosaurus_lixianensis,species,Albian,,113,100.5
,,,,,,,,
Jobaria tiguidensis,species,,Jobaria_tiguidensis,species,Middle Jurassic,Late Jurassic,174.1,145
,,,,,,,,
n. gen. Kaatedocus n. sp. siberi,species,,Kaatedocus_siberi,species,Kimmeridgian,,157.3,152.1
,,,,,,,,
Karongasaurus gittelmani,species,,Karongasaurus_gittelmani,species,Aptian,,125,113
,,,,,,,,
n. gen. Katepensaurus n. sp. goicoecheai,species,,Katepensaurus_goicoecheai,species,Cenomanian,Turonian,100.5,89.8
,,,,,,,,
n. gen. Khetranisaurus n. sp. barkhani,species,,Khetranisaurus_barkhani,species,Maastrichtian,,72.1,66
,,,,,,,,
n. gen. Klamelisaurus n. sp. gobiensis,species,,Klamelisaurus_gobiensis,species,Callovian,,166.1,163.5
,,,,,,,,
Kotasaurus yamanpalliensis,species,,Kotasaurus_yamanpalliensis,species,Sinemurian,Pliensbachian,199.3,182.7
,,,,,,,,
n. gen. Lamplughsaura n. sp. dharmaramensis,species,,Lamplughsaura_dharmaramensis,species,Sinemurian,,199.3,190.8
,,,,,,,,
n. gen. Laplatasaurus n. sp. araukanicus,species,,Laplatasaurus_araukanicus,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
n. gen. Lapparentosaurus n. sp. madagascariensis,species,,Lapparentosaurus_madagascariensis,species,Late Bathonian,,167.7,164.7
,,,,,,,,
n. gen. Lavocatisaurus n. sp. agrioensis,species,,Lavocatisaurus_agrioensis,species,Aptian,Early Albian,125,109
,,,,,,,,
n. gen. Leinkupal n. sp. laticauda,species,,Leinkupal_laticauda,species,Late Berriasian,Valanginian,145,132.9
,,,,,,,,
n. gen. Liaoningotitan n. sp. sinensis,species,,Liaoningotitan_sinensis,species,Late Barremian,Early Aptian,130,122.46
,,,,,,,,
n. gen. Ligabuesaurus n. sp. leanzai,species,,Ligabuesaurus_leanzai,species,Early Albian,,112.03,109
,,,,,,,,
